kanton_code;kanton;jahr;komponente;staatsangehoerigkeit;personen
0;Schweiz;2008;bestand_1_1;total;7593494
0;Schweiz;2008;bestand_31_12;total;7701856
1;Zürich;2008;bestand_1_1;total;1307567
1;Zürich;2008;bestand_31_12;total;1332727
2;Bern / Berne;2008;bestand_1_1;total;962982
2;Bern / Berne;2008;bestand_31_12;total;969299
3;Luzern;2008;bestand_1_1;total;363475
3;Luzern;2008;bestand_31_12;total;368742
4;Uri;2008;bestand_1_1;total;34989
4;Uri;2008;bestand_31_12;total;35162
5;Schwyz;2008;bestand_1_1;total;141024
5;Schwyz;2008;bestand_31_12;total;143719
6;Obwalden;2008;bestand_1_1;total;33997
6;Obwalden;2008;bestand_31_12;total;34429
7;Nidwalden;2008;bestand_1_1;total;40287
7;Nidwalden;2008;bestand_31_12;total;40737
8;Glarus;2008;bestand_1_1;total;38237
8;Glarus;2008;bestand_31_12;total;38370
9;Zug;2008;bestand_1_1;total;109141
9;Zug;2008;bestand_31_12;total;110384
10;Fribourg / Freiburg;2008;bestand_1_1;total;263241
10;Fribourg / Freiburg;2008;bestand_31_12;total;268537
11;Solothurn;2008;bestand_1_1;total;250240
11;Solothurn;2008;bestand_31_12;total;251830
12;Basel-Stadt;2008;bestand_1_1;total;185227
12;Basel-Stadt;2008;bestand_31_12;total;186672
13;Basel-Landschaft;2008;bestand_1_1;total;269145
13;Basel-Landschaft;2008;bestand_31_12;total;271214
14;Schaffhausen;2008;bestand_1_1;total;74527
14;Schaffhausen;2008;bestand_31_12;total;75303
15;Appenzell Ausserrhoden;2008;bestand_1_1;total;52654
15;Appenzell Ausserrhoden;2008;bestand_31_12;total;53054
16;Appenzell Innerrhoden;2008;bestand_1_1;total;15471
16;Appenzell Innerrhoden;2008;bestand_31_12;total;15549
17;St. Gallen;2008;bestand_1_1;total;465937
17;St. Gallen;2008;bestand_31_12;total;471152
18;Graubünden / Grigioni / Grischun;2008;bestand_1_1;total;188762
18;Graubünden / Grigioni / Grischun;2008;bestand_31_12;total;190459
19;Aargau;2008;bestand_1_1;total;581562
19;Aargau;2008;bestand_31_12;total;591632
20;Thurgau;2008;bestand_1_1;total;238316
20;Thurgau;2008;bestand_31_12;total;241811
21;Ticino;2008;bestand_1_1;total;328580
21;Ticino;2008;bestand_31_12;total;332736
22;Vaud;2008;bestand_1_1;total;672039
22;Vaud;2008;bestand_31_12;total;688245
23;Valais / Wallis;2008;bestand_1_1;total;298580
23;Valais / Wallis;2008;bestand_31_12;total;303241
24;Neuchâtel;2008;bestand_1_1;total;169782
24;Neuchâtel;2008;bestand_31_12;total;170924
25;Genève;2008;bestand_1_1;total;438177
25;Genève;2008;bestand_31_12;total;446106
26;Jura;2008;bestand_1_1;total;69555
26;Jura;2008;bestand_31_12;total;69822
27;Ohne Angabe;2008;bestand_1_1;total;0
27;Ohne Angabe;2008;bestand_31_12;total;0
0;Schweiz;2009;bestand_1_1;total;7701856
0;Schweiz;2009;bestand_31_12;total;7785806
1;Zürich;2009;bestand_1_1;total;1332727
1;Zürich;2009;bestand_31_12;total;1351297
2;Bern / Berne;2009;bestand_1_1;total;969299
2;Bern / Berne;2009;bestand_31_12;total;974235
3;Luzern;2009;bestand_1_1;total;368742
3;Luzern;2009;bestand_31_12;total;372964
4;Uri;2009;bestand_1_1;total;35162
4;Uri;2009;bestand_31_12;total;35335
5;Schwyz;2009;bestand_1_1;total;143719
5;Schwyz;2009;bestand_31_12;total;144686
6;Obwalden;2009;bestand_1_1;total;34429
6;Obwalden;2009;bestand_31_12;total;35032
7;Nidwalden;2009;bestand_1_1;total;40737
7;Nidwalden;2009;bestand_31_12;total;40794
8;Glarus;2009;bestand_1_1;total;38370
8;Glarus;2009;bestand_31_12;total;38479
9;Zug;2009;bestand_1_1;total;110384
9;Zug;2009;bestand_31_12;total;110890
10;Fribourg / Freiburg;2009;bestand_1_1;total;268537
10;Fribourg / Freiburg;2009;bestand_31_12;total;273159
11;Solothurn;2009;bestand_1_1;total;251830
11;Solothurn;2009;bestand_31_12;total;252748
12;Basel-Stadt;2009;bestand_1_1;total;186672
12;Basel-Stadt;2009;bestand_31_12;total;187898
13;Basel-Landschaft;2009;bestand_1_1;total;271214
13;Basel-Landschaft;2009;bestand_31_12;total;272815
14;Schaffhausen;2009;bestand_1_1;total;75303
14;Schaffhausen;2009;bestand_31_12;total;75657
15;Appenzell Ausserrhoden;2009;bestand_1_1;total;53054
15;Appenzell Ausserrhoden;2009;bestand_31_12;total;53043
16;Appenzell Innerrhoden;2009;bestand_1_1;total;15549
16;Appenzell Innerrhoden;2009;bestand_31_12;total;15681
17;St. Gallen;2009;bestand_1_1;total;471152
17;St. Gallen;2009;bestand_31_12;total;474676
18;Graubünden / Grigioni / Grischun;2009;bestand_1_1;total;190459
18;Graubünden / Grigioni / Grischun;2009;bestand_31_12;total;191861
19;Aargau;2009;bestand_1_1;total;591632
19;Aargau;2009;bestand_31_12;total;600040
20;Thurgau;2009;bestand_1_1;total;241811
20;Thurgau;2009;bestand_31_12;total;244805
21;Ticino;2009;bestand_1_1;total;332736
21;Ticino;2009;bestand_31_12;total;335720
22;Vaud;2009;bestand_1_1;total;688245
22;Vaud;2009;bestand_31_12;total;701526
23;Valais / Wallis;2009;bestand_1_1;total;303241
23;Valais / Wallis;2009;bestand_31_12;total;307392
24;Neuchâtel;2009;bestand_1_1;total;170924
24;Neuchâtel;2009;bestand_31_12;total;171647
25;Genève;2009;bestand_1_1;total;446106
25;Genève;2009;bestand_31_12;total;453292
26;Jura;2009;bestand_1_1;total;69822
26;Jura;2009;bestand_31_12;total;70134
27;Ohne Angabe;2009;bestand_1_1;total;0
27;Ohne Angabe;2009;bestand_31_12;total;0
0;Schweiz;2010;bestand_1_1;total;7785806
0;Schweiz;2010;bestand_31_12;total;7864012
1;Zürich;2010;bestand_1_1;total;1351297
1;Zürich;2010;bestand_31_12;total;1368822
2;Bern / Berne;2010;bestand_1_1;total;974235
2;Bern / Berne;2010;bestand_31_12;total;978248
3;Luzern;2010;bestand_1_1;total;372964
3;Luzern;2010;bestand_31_12;total;376395
4;Uri;2010;bestand_1_1;total;35335
4;Uri;2010;bestand_31_12;total;35301
5;Schwyz;2010;bestand_1_1;total;144686
5;Schwyz;2010;bestand_31_12;total;146285
6;Obwalden;2010;bestand_1_1;total;35032
6;Obwalden;2010;bestand_31_12;total;35492
7;Nidwalden;2010;bestand_1_1;total;40794
7;Nidwalden;2010;bestand_31_12;total;40922
8;Glarus;2010;bestand_1_1;total;38479
8;Glarus;2010;bestand_31_12;total;38568
9;Zug;2010;bestand_1_1;total;110890
9;Zug;2010;bestand_31_12;total;112237
10;Fribourg / Freiburg;2010;bestand_1_1;total;273159
10;Fribourg / Freiburg;2010;bestand_31_12;total;277824
11;Solothurn;2010;bestand_1_1;total;252748
11;Solothurn;2010;bestand_31_12;total;254758
12;Basel-Stadt;2010;bestand_1_1;total;187898
12;Basel-Stadt;2010;bestand_31_12;total;189431
13;Basel-Landschaft;2010;bestand_1_1;total;272815
13;Basel-Landschaft;2010;bestand_31_12;total;273887
14;Schaffhausen;2010;bestand_1_1;total;75657
14;Schaffhausen;2010;bestand_31_12;total;76345
15;Appenzell Ausserrhoden;2010;bestand_1_1;total;53043
15;Appenzell Ausserrhoden;2010;bestand_31_12;total;52938
16;Appenzell Innerrhoden;2010;bestand_1_1;total;15681
16;Appenzell Innerrhoden;2010;bestand_31_12;total;15655
17;St. Gallen;2010;bestand_1_1;total;474676
17;St. Gallen;2010;bestand_31_12;total;477746
18;Graubünden / Grigioni / Grischun;2010;bestand_1_1;total;191861
18;Graubünden / Grigioni / Grischun;2010;bestand_31_12;total;192702
19;Aargau;2010;bestand_1_1;total;600040
19;Aargau;2010;bestand_31_12;total;608299
20;Thurgau;2010;bestand_1_1;total;244805
20;Thurgau;2010;bestand_31_12;total;247781
21;Ticino;2010;bestand_1_1;total;335720
21;Ticino;2010;bestand_31_12;total;339946
22;Vaud;2010;bestand_1_1;total;701526
22;Vaud;2010;bestand_31_12;total;711818
23;Valais / Wallis;2010;bestand_1_1;total;307392
23;Valais / Wallis;2010;bestand_31_12;total;311985
24;Neuchâtel;2010;bestand_1_1;total;171647
24;Neuchâtel;2010;bestand_31_12;total;171904
25;Genève;2010;bestand_1_1;total;453292
25;Genève;2010;bestand_31_12;total;458559
26;Jura;2010;bestand_1_1;total;70134
26;Jura;2010;bestand_31_12;total;70164
27;Ohne Angabe;2010;bestand_1_1;total;0
27;Ohne Angabe;2010;bestand_31_12;total;0
0;Schweiz;2011;bestand_1_1;total;7870134
