kanton_code;kanton;jahr;bevoelkerung;flaeche_km2;dichte;auslaenderanteil;faelle_stgb;hz;aufgeklaert;aq;hz_leib_leben;hz_koerperverletzung;hz_diebstahl;hz_einbruch;hz_raub;hz_sachbeschaedigung;hz_cyberbetrug;hz_vergewaltigung;faelle_diebstahl;faelle_einbruch;faelle_leib_leben;faelle_raub;faelle_sachbeschaedigung;faelle_cyberbetrug;faelle_vergewaltigung;faelle_diskriminierung;aufgeklaert_diebstahl;aufgeklaert_einbruch
1;Zürich;2009;1342012.0;1726.5;777.3;23.7;117099;8725.6;33949;29.0;469.9;151.3;946.0;921.3;65.9;978.3;106.5;11.1;12695;12364;6306;884;13129;1429;149;19;2532;1554
1;Zürich;2010;1360059.5;1726.5;787.8;23.9;108220;7957.0;33935;31.4;431.9;129.5;941.7;793.5;45.9;812.2;92.9;10.0;12808;10792;5874;624;11046;1263;136;17;2300;1194
1;Zürich;2011;1382732.0;1726.5;800.9;24.6;107026;7740.2;30040;28.1;387.7;130.8;1054.7;704.8;50.6;720.6;76.4;10.3;14584;9745;5361;700;9964;1057;143;6;2156;1052
1;Zürich;2012;1400485.5;1726.5;811.2;24.9;118387;8453.3;32733;27.6;367.7;122.2;1134.0;865.9;61.4;658.2;99.5;9.1;15881;12127;5149;860;9218;1394;127;16;2306;1451
1;Zürich;2013;1417056.5;1726.5;820.8;25.4;107770;7605.2;31241;29.0;391.5;127.3;1020.9;647.2;46.4;693.2;80.8;11.3;14467;9171;5548;658;9823;1145;160;19;2173;839
1;Zürich;2014;1435946.0;1726.5;831.7;25.8;99031;6896.6;29973;30.3;344.9;102.7;853.8;590.0;38.0;667.2;57.8;11.8;12260;8472;4953;545;9580;830;169;18;1969;861
1;Zürich;2015;1456389.0;1726.5;843.5;26.1;92468;6349.1;29144;31.5;330.1;99.1;757.8;535.5;28.6;638.8;58.4;9.2;11037;7799;4808;416;9304;851;134;15;1623;765
1;Zürich;2016;1477196.5;1726.5;855.6;26.6;87754;5940.6;30322;34.6;363.9;103.4;730.2;431.4;29.5;620.8;68.7;11.5;10787;6373;5375;436;9171;1015;170;16;1820;816
1;Zürich;2017;1496157.5;1726.5;866.6;26.7;88861;5939.3;32653;36.7;378.6;105.9;709.8;391.1;32.1;641.3;85.1;11.6;10620;5852;5665;481;9595;1273;173;22;1905;898
1;Zürich;2018;1512657.0;1726.5;876.1;26.9;90772;6000.8;34407;37.9;396.1;112.3;708.0;396.3;26.9;619.1;94.1;9.9;10709;5994;5992;407;9365;1424;149;11;2130;846
1;Zürich;2019;1530121.5;1726.5;886.3;27.1;91174;5958.6;34516;37.9;416.9;117.7;689.4;396.0;29.5;589.2;93.7;9.0;10548;6060;6379;451;9016;1433;137;28;1932;768
1;Zürich;2020;1546349.0;1726.5;895.7;27.3;93180;6025.8;37775;40.5;408.3;115.4;565.8;328.9;33.8;713.7;109.7;11.8;8749;5086;6313;523;11036;1696;182;57;1689;801
1;Zürich;2021;1559042.5;1726.5;903.0;27.4;87586;5617.9;36881;42.1;377.9;102.4;543.0;285.6;35.0;631.3;126.5;12.3;8465;4452;5892;545;9843;1972;192;41;1650;678
1;Zürich;2022;1572314.5;1726.5;910.7;27.7;95775;6091.3;37733;39.4;388.7;112.3;626.5;320.8;35.4;595.1;167.0;12.3;9851;5044;6111;557;9357;2626;193;50;1884;776
1;Zürich;2023;1592737.5;1726.5;922.5;28.6;104079;6534.6;39369;37.8;389.8;111.6;655.0;322.0;34.2;544.0;236.5;12.5;10433;5129;6208;544;8664;3767;199;62;1856;754
1;Zürich;2024;1612764.0;1726.5;934.1;29.0;110240;6835.5;41384;37.5;394.7;110.4;619.9;369.4;33.7;480.4;330.3;13.3;9998;5957;6365;544;7748;5327;214;135;1984;1004
1;Zürich;2025;1626469.0;1726.5;942.1;29.2;104632;6433.1;40023;38.3;368.6;102.9;609.7;331.3;27.4;473.2;321.4;19.6;9916;5389;5995;446;7697;5228;318;88;2089;974
2;Bern;2009;971767.0;5947.0;163.4;13.0;67800;6977.0;16482;24.3;264.3;76.3;739.2;555.4;69.5;1101.7;42.4;5.7;7183;5397;2568;675;10706;412;55;17;785;630
2;Bern;2010;976241.5;5947.0;164.2;13.3;61634;6313.4;17092;27.7;268.7;82.2;706.3;516.4;28.3;913.7;47.1;5.7;6895;5041;2623;276;8920;460;56;30;750;692
2;Bern;2011;982377.0;5947.0;165.2;13.7;64774;6593.6;16932;26.1;267.5;86.8;736.9;568.2;30.1;768.3;62.0;7.1;7239;5582;2628;296;7548;609;70;25;636;683
2;Bern;2012;988783.5;5947.0;166.3;14.0;69004;6978.7;17975;26.0;259.4;81.3;793.1;582.6;29.7;760.9;61.2;5.3;7842;5761;2565;294;7524;605;52;22;761;503
2;Bern;2013;996899.5;5947.0;167.6;14.5;67222;6743.1;16691;24.8;230.7;72.1;751.4;622.1;34.2;714.1;53.9;5.5;7491;6202;2300;341;7119;537;55;36;758;533
2;Bern;2014;1005301.0;5947.0;169.0;15.0;58826;5851.6;15653;26.6;216.6;70.7;658.2;481.4;22.9;728.9;42.7;6.5;6617;4840;2177;230;7328;429;65;15;760;501
2;Bern;2015;1013402.0;5947.0;170.4;15.5;55935;5519.5;16315;29.2;213.1;65.0;552.8;427.5;20.6;746.6;47.1;5.7;5602;4332;2160;209;7566;477;58;19;805;617
2;Bern;2016;1021949.0;5947.0;171.8;16.1;54843;5366.5;16809;30.6;220.5;70.5;542.9;414.9;22.5;750.2;42.8;7.0;5548;4240;2253;230;7667;437;72;11;747;565
2;Bern;2017;1028772.0;5947.0;173.0;16.2;50508;4909.5;17175;34.0;207.9;67.7;481.9;337.7;19.3;721.7;50.2;7.6;4958;3474;2139;199;7425;516;78;21;699;648
2;Bern;2018;1033005.5;5947.0;173.7;16.3;50094;4849.3;17981;35.9;214.6;63.5;477.9;283.8;18.4;689.8;63.5;6.8;4937;2932;2217;190;7126;656;70;14;675;490
2;Bern;2019;1037178.5;5947.0;174.4;16.6;53942;5200.8;20647;38.3;230.5;72.0;523.1;289.6;22.9;742.1;83.3;7.0;5425;3004;2391;237;7697;864;73;17;800;741
2;Bern;2020;1041253.5;5947.0;175.1;16.6;54869;5269.5;22147;40.4;236.8;70.5;460.8;270.3;26.9;807.2;92.4;8.4;4798;2815;2466;280;8405;962;87;13;780;672
2;Bern;2021;1045251.5;5947.0;175.8;16.8;51813;4957.0;20190;39.0;211.2;53.1;429.8;228.6;21.6;730.8;122.3;8.0;4492;2389;2208;226;7639;1278;84;28;600;480
2;Bern;2022;1049429.5;5947.0;176.5;17.0;49290;4696.8;18387;37.3;212.0;66.3;538.7;209.1;20.8;550.2;113.4;9.0;5653;2194;2225;218;5774;1190;94;21;796;355
2;Bern;2023;1057485.0;5947.0;177.8;17.9;62613;5920.9;22931;36.6;237.8;79.5;617.0;265.3;20.0;560.8;192.2;8.5;6525;2805;2515;212;5930;2032;90;28;960;442
2;Bern;2024;1067374.5;5947.0;179.5;18.4;73469;6883.2;26607;36.2;258.4;90.2;617.3;346.0;25.7;521.6;227.3;10.2;6589;3693;2758;274;5567;2426;109;56;1132;624
2;Bern;2025;1073671.5;5947.0;180.5;18.6;70302;6547.8;27322;38.9;249.9;88.7;532.5;379.7;21.9;474.3;229.1;13.0;5717;4077;2683;235;5092;2460;140;62;1097;888
3;Luzern;2009;370853.0;1493.1;248.4;16.4;23229;6263.7;8228;35.4;307.7;69.8;601.6;524.2;27.0;548.7;94.9;8.1;2231;1944;1141;100;2035;352;30;2;337;403
3;Luzern;2010;374679.5;1493.1;250.9;16.4;21524;5744.6;6977;32.4;246.3;68.9;542.9;495.6;29.1;456.4;64.9;8.3;2034;1857;923;109;1710;243;31;3;206;324
3;Luzern;2011;379788.0;1493.1;254.4;16.8;24219;6377.0;7259;30.0;211.2;61.1;707.2;540.3;29.8;447.9;62.4;5.8;2686;2052;802;113;1701;237;22;3;446;306
3;Luzern;2012;384024.0;1493.1;257.2;17.0;24519;6384.8;6771;27.6;198.4;61.5;668.4;497.6;39.8;391.1;70.6;7.6;2567;1911;762;153;1502;271;29;3;307;190
3;Luzern;2013;388215.5;1493.1;260.0;17.2;24764;6378.9;7454;30.1;243.9;67.0;602.8;655.8;28.6;372.2;59.0;8.2;2340;2546;947;111;1445;229;32;4;287;315
3;Luzern;2014;392476.5;1493.1;262.9;17.6;22509;5735.1;6878;30.6;171.5;51.2;559.5;534.3;21.1;346.0;58.6;5.1;2196;2097;673;83;1358;230;20;1;289;338
3;Luzern;2015;396683.0;1493.1;265.7;17.9;20523;5173.7;6569;32.0;174.2;49.7;482.5;464.9;16.1;314.9;58.2;5.0;1914;1844;691;64;1249;231;20;7;260;250
3;Luzern;2016;401079.5;1493.1;268.6;18.4;18771;4680.1;6670;35.5;175.8;62.8;432.6;384.5;17.5;359.0;61.3;6.5;1735;1542;705;70;1440;246;26;4;235;216
3;Luzern;2017;404951.5;1493.1;271.2;18.4;18715;4621.5;7405;39.6;204.2;59.5;408.0;389.7;15.3;346.2;75.1;5.7;1652;1578;827;62;1402;304;23;0;313;269
3;Luzern;2018;408031.5;1493.1;273.3;18.5;17856;4376.1;6900;38.6;166.9;48.3;352.7;313.5;15.9;325.2;59.1;6.1;1439;1279;681;65;1327;241;25;2;251;189
3;Luzern;2019;411338.5;1493.1;275.5;18.8;17124;4163.0;7212;42.1;159.5;48.1;387.3;247.0;9.2;319.2;79.5;3.6;1593;1016;656;38;1313;327;15;4;314;178
3;Luzern;2020;414733.5;1493.1;277.8;19.0;17610;4246.1;7756;44.0;159.4;50.2;336.1;257.0;11.6;336.1;125.1;5.8;1394;1066;661;48;1394;519;24;4;329;242
3;Luzern;2021;418336.5;1493.1;280.2;19.3;17113;4090.7;7033;41.1;155.6;45.7;280.4;249.6;8.6;311.9;104.7;5.5;1173;1044;651;36;1305;438;23;4;226;152
3;Luzern;2022;422588.5;1493.1;283.0;19.8;18929;4479.3;7454;39.4;169.7;49.5;311.4;245.4;13.7;304.3;171.8;7.1;1316;1037;717;58;1286;726;30;1;205;208
