kanton_code;kanton;delikt_code;delikt;ausfuehrung;aufklaerung;jahr;faelle
8100;Schweiz;311.00.T0;Straftat - Total;total;total;2009;553421
8100;Schweiz;311.00.T0;Straftat - Total;total;total;2010;527897
8100;Schweiz;311.00.T0;Straftat - Total;total;total;2011;559877
8100;Schweiz;311.00.T0;Straftat - Total;total;total;2012;611903
8100;Schweiz;311.00.T0;Straftat - Total;total;total;2013;575138
8100;Schweiz;311.00.T0;Straftat - Total;total;total;2014;526066
8100;Schweiz;311.00.T0;Straftat - Total;total;total;2015;487611
8100;Schweiz;311.00.T0;Straftat - Total;total;total;2016;467731
8100;Schweiz;311.00.T0;Straftat - Total;total;total;2017;439001
8100;Schweiz;311.00.T0;Straftat - Total;total;total;2018;432754
8100;Schweiz;311.00.T0;Straftat - Total;total;total;2019;432000
8100;Schweiz;311.00.T0;Straftat - Total;total;total;2020;421678
8100;Schweiz;311.00.T0;Straftat - Total;total;total;2021;415008
8100;Schweiz;311.00.T0;Straftat - Total;total;total;2022;458549
8100;Schweiz;311.00.T0;Straftat - Total;total;total;2023;522558
8100;Schweiz;311.00.T0;Straftat - Total;total;total;2024;563633
8100;Schweiz;311.00.T0;Straftat - Total;total;total;2025;554963
8100;Schweiz;311.00.T0;Straftat - Total;total;unaufgeklärt;2009;401004
8100;Schweiz;311.00.T0;Straftat - Total;total;unaufgeklärt;2010;374208
8100;Schweiz;311.00.T0;Straftat - Total;total;unaufgeklärt;2011;410872
8100;Schweiz;311.00.T0;Straftat - Total;total;unaufgeklärt;2012;445330
8100;Schweiz;311.00.T0;Straftat - Total;total;unaufgeklärt;2013;408765
8100;Schweiz;311.00.T0;Straftat - Total;total;unaufgeklärt;2014;365804
8100;Schweiz;311.00.T0;Straftat - Total;total;unaufgeklärt;2015;331737
8100;Schweiz;311.00.T0;Straftat - Total;total;unaufgeklärt;2016;302622
8100;Schweiz;311.00.T0;Straftat - Total;total;unaufgeklärt;2017;280992
8100;Schweiz;311.00.T0;Straftat - Total;total;unaufgeklärt;2018;268897
8100;Schweiz;311.00.T0;Straftat - Total;total;unaufgeklärt;2019;262579
8100;Schweiz;311.00.T0;Straftat - Total;total;unaufgeklärt;2020;245623
8100;Schweiz;311.00.T0;Straftat - Total;total;unaufgeklärt;2021;241250
8100;Schweiz;311.00.T0;Straftat - Total;total;unaufgeklärt;2022;271413
8100;Schweiz;311.00.T0;Straftat - Total;total;unaufgeklärt;2023;321557
8100;Schweiz;311.00.T0;Straftat - Total;total;unaufgeklärt;2024;351284
8100;Schweiz;311.00.T0;Straftat - Total;total;unaufgeklärt;2025;340192
8100;Schweiz;311.00.T0;Straftat - Total;total;aufgeklärt;2009;152417
8100;Schweiz;311.00.T0;Straftat - Total;total;aufgeklärt;2010;153689
8100;Schweiz;311.00.T0;Straftat - Total;total;aufgeklärt;2011;149005
8100;Schweiz;311.00.T0;Straftat - Total;total;aufgeklärt;2012;166573
8100;Schweiz;311.00.T0;Straftat - Total;total;aufgeklärt;2013;166373
8100;Schweiz;311.00.T0;Straftat - Total;total;aufgeklärt;2014;160262
8100;Schweiz;311.00.T0;Straftat - Total;total;aufgeklärt;2015;155874
8100;Schweiz;311.00.T0;Straftat - Total;total;aufgeklärt;2016;165109
8100;Schweiz;311.00.T0;Straftat - Total;total;aufgeklärt;2017;158009
8100;Schweiz;311.00.T0;Straftat - Total;total;aufgeklärt;2018;163857
8100;Schweiz;311.00.T0;Straftat - Total;total;aufgeklärt;2019;169421
8100;Schweiz;311.00.T0;Straftat - Total;total;aufgeklärt;2020;176055
8100;Schweiz;311.00.T0;Straftat - Total;total;aufgeklärt;2021;173758
8100;Schweiz;311.00.T0;Straftat - Total;total;aufgeklärt;2022;187136
