jahr;bevoelkerung;faelle_stgb;hz_stgb;aq_stgb;faelle_leib_leben;hz_leib_leben;aq_leib_leben;faelle_kv_einfach;hz_kv_einfach;aq_kv_einfach;faelle_kv_schwer;hz_kv_schwer;aq_kv_schwer;faelle_diebstahl;hz_diebstahl;aq_diebstahl;faelle_einbruch;hz_einbruch;aq_einbruch;faelle_taschendiebstahl;hz_taschendiebstahl;aq_taschendiebstahl;faelle_ladendiebstahl;hz_ladendiebstahl;aq_ladendiebstahl;faelle_raub;hz_raub;aq_raub;faelle_sachbeschaedigung;hz_sachbeschaedigung;aq_sachbeschaedigung;faelle_cyberbetrug;hz_cyberbetrug;aq_cyberbetrug;faelle_vergewaltigung;hz_vergewaltigung;aq_vergewaltigung;faelle_diskriminierung;hz_diskriminierung;aq_diskriminierung;faelle_drohung;hz_drohung;aq_drohung
2009;7743831.0;553421;7146.6;27.5;29340;378.9;79.1;9787;126.4;78.2;524;6.8;71.2;59809;772.3;13.8;51758;668.4;12.7;17318;223.6;2.7;16999;219.5;83.4;3530;45.6;36.9;64508;833.0;16.2;4688;60.5;33.3;666;8.6;70.6;230;3.0;69.1;11686;150.9;84.5
2010;7824909.0;527897;6746.4;29.1;28237;360.9;81.1;9338;119.3;79.7;487;6.2;79.7;56778;725.6;14.0;50210;641.7;12.7;18678;238.7;3.0;16649;212.8;84.6;2853;36.5;36.8;57809;738.8;17.5;4606;58.9;29.0;543;6.9;81.0;204;2.6;76.5;10941;139.8;86.2
2011;7912398.0;559877;7075.9;26.6;26395;333.6;83.6;9033;114.2;82.4;487;6.2;83.6;64604;816.5;11.9;52735;666.5;11.5;27450;346.9;3.0;17944;226.8;85.2;3113;39.3;33.5;53435;675.3;15.3;5520;69.8;21.6;552;7.0;80.1;182;2.3;70.3;10514;132.9;89.7
2012;7996861.0;611903;7651.8;27.2;26351;329.5;84.3;8728;109.1;83.8;597;7.5;80.2;68962;862.4;12.1;61128;764.4;11.9;34131;426.8;3.6;18383;229.9;83.9;3603;45.1;34.6;50279;628.7;16.6;6323;79.1;21.5;569;7.1;80.3;181;2.3;70.7;11198;140.0;90.5
2013;8089345.5;575138;7109.8;28.9;25727;318.0;85.0;8527;105.4;83.7;568;7.0;72.5;64679;799.6;12.1;56930;703.8;12.0;30014;371.0;4.4;17080;211.1;83.3;3196;39.5;33.8;48130;595.0;17.1;5559;68.7;21.8;571;7.1;77.6;174;2.2;83.3;11167;138.0;91.2
2014;8188648.5;526066;6424.3;30.5;24286;296.6;86.4;7782;95.0;83.3;609;7.4;80.0;55346;675.9;13.8;52338;639.2;14.0;24659;301.1;3.5;15603;190.5;83.8;2367;28.9;37.0;46942;573.3;17.8;4219;51.5;26.9;556;6.8;81.1;146;1.8;71.2;10328;126.1;91.6
2015;8282396.0;487611;5887.3;32.0;24184;292.0;85.9;7381;89.1;83.7;616;7.4;73.1;50611;611.1;14.2;42416;512.1;14.0;20303;245.1;3.6;13993;168.9;84.2;1859;22.4;37.3;44890;542.0;17.7;4370;52.8;33.6;532;6.4;82.3;200;2.4;76.0;10571;127.6;90.8
2016;8373338.0;467731;5586.0;35.3;24722;295.2;86.7;7787;93.0;84.7;573;6.8;77.5;46891;560.0;15.6;36970;441.5;15.0;17961;214.5;4.1;14359;171.5;85.4;1876;22.4;39.3;43618;520.9;19.4;4788;57.2;29.0;588;7.0;79.6;158;1.9;79.7;10462;124.9;91.6
2017;8451840.0;439001;5194.1;36.0;24632;291.4;87.1;7437;88.0;85.5;586;6.9;81.1;45504;538.4;16.0;32534;384.9;16.7;15243;180.4;5.0;14789;175.0;86.0;1746;20.7;42.6;42925;507.9;21.7;4956;58.6;30.6;619;7.3;84.0;166;2.0;76.5;9819;116.2;91.2
2018;8514328.5;432754;5082.7;37.9;25765;302.6;87.0;7624;89.5;84.3;585;6.9;77.1;44080;517.7;17.0;30383;356.8;16.3;13283;156.0;4.6;16268;191.1;85.8;1644;19.3;45.3;42243;496.1;20.6;5583;65.6;31.1;626;7.4;84.8;151;1.8;82.1;10441;122.6;91.2
2019;8575280.0;432000;5037.7;39.2;26960;314.4;87.3;7710;89.9;84.0;637;7.4;82.6;45611;531.9;17.5;27938;325.8;17.3;12611;147.1;5.6;16980;198.0;86.2;1872;21.8;43.2;42582;496.6;20.7;6181;72.1;35.9;679;7.9;85.6;205;2.4;80.5;10834;126.3;91.0
2020;8638166.5;421678;4881.6;41.8;27140;314.2;88.2;7444;86.2;84.9;669;7.7;84.8;38944;450.8;19.8;24010;278.0;18.9;8994;104.1;8.3;16342;189.2;86.7;1949;22.6;48.0;46438;537.6;20.3;6798;78.7;35.7;713;8.3;87.5;257;3.0;80.9;11027;127.7;91.2
2021;8704545.5;415008;4767.7;41.9;25502;293.0;88.1;6639;76.3;86.4;650;7.5;84.0;37032;425.4;18.2;22734;261.2;18.1;7271;83.5;9.0;16752;192.5;86.7;1736;19.9;54.1;43794;503.1;20.6;8127;93.4;31.4;757;8.7;84.1;312;3.6;78.2;10860;124.8;89.7
2022;8777088.0;458549;5224.4;40.8;27228;310.2;86.8;7516;85.6;83.6;762;8.7;83.6;45695;520.6;17.8;25452;290.0;17.9;8771;99.9;8.4;19781;225.4;85.4;1941;22.1;52.2;39859;454.1;21.0;10641;121.2;27.8;867;9.9;84.4;346;3.9;84.1;10164;115.8;89.9
2023;8888821.5;522558;5878.8;38.5;27777;312.5;86.5;7440;83.7;84.7;880;9.9;83.5;49911;561.5;17.1;28793;323.9;18.1;11106;124.9;8.8;24252;272.8;86.8;1930;21.7;51.7;38834;436.9;21.8;15481;174.2;20.0;839;9.4;89.6;401;4.5;73.8;10620;119.5;90.5
2024;9006643.5;563633;6258.0;37.7;28611;317.7;86.9;7347;81.6;84.3;1029;11.4;86.9;49954;554.6;18.0;33058;367.0;19.3;11304;125.5;9.8;25927;287.9;86.5;2113;23.5;54.2;36489;405.1;22.3;19702;218.7;19.6;1086;12.1;87.9;595;6.6;72.1;10839;120.3;89.7
2025;9089077.0;554963;6105.8;38.7;29175;321.0;87.2;7942;87.4;85.6;911;10.0;85.2;47648;524.2;19.3;34755;382.4;19.6;9555;105.1;11.2;25434;279.8;86.4;1834;20.2;54.3;35330;388.7;22.5;20247;222.8;18.6;1402;15.4;90.6;566;6.2;72.1;11137;122.5;90.5
