delikt,jahr,abgeurteilte,verurteilte,quelle_label
Tötungsdelikte,2022,858.0,575.0,"StGB 16. Abschnitt, §§ 211 bis 222 (o.V.)"
Körperverletzung,2022,65094.0,42883.0,"StGB 17. Abschnitt, §§ 223 bis 231 (o.V.)"
Sexualdelikte,2022,13142.0,10047.0,"StGB 13. Abschnitt, §§ 174 bis 184 l"
Diebstahl (19. Abschnitt),2022,79033.0,63990.0,"StGB 19. Abschnitt, §§ 242 bis 248 c"
Einbruchdiebstahl (§ 243 Abs. 1 S. 2 Nr. 1),2022,6654.0,4930.0,StGB § 243 Abs. 1 Satz 2 Nr. 1
Wohnungseinbruchdiebstahl (§ 244 Abs. 1 Nr. 3),2022,630.0,420.0,StGB § 244 Abs. 1 Nr. 3
Schwerer Diebstahl/Banden (§ 244a),2022,501.0,430.0,StGB § 244 a
Raub und räuberische Erpressung (20. Abschnitt),2022,7025.0,4917.0,"StGB 20. Abschnitt, §§ 249 bis 256, 316a"
Betrug und Untreue (22. Abschnitt),2022,88575.0,73353.0,"StGB 22. Abschnitt, §§ 263 bis 266 b"
Sachbeschädigung (27. Abschnitt),2022,13264.0,9466.0,"StGB 27. Abschnitt, §§ 303 bis 305 a"
Straftaten im Straßenverkehr,2022,185490.0,164153.0,Straftaten ohne Straftaten im Straßenverkehr
Tötungsdelikte,2023,888.0,576.0,"StGB 16. Abschnitt, §§ 211 bis 222 (o.V.)"
Körperverletzung,2023,70013.0,46451.0,"StGB 17. Abschnitt, §§ 223 bis 231 (o.V.)"
Sexualdelikte,2023,14604.0,10976.0,"StGB 13. Abschnitt, §§ 174 bis 184 l"
Diebstahl (19. Abschnitt),2023,92388.0,76312.0,"StGB 19. Abschnitt, §§ 242 bis 248 c"
Einbruchdiebstahl (§ 243 Abs. 1 S. 2 Nr. 1),2023,6431.0,4913.0,StGB § 243 Abs. 1 Satz 2 Nr. 1
Wohnungseinbruchdiebstahl (§ 244 Abs. 1 Nr. 3),2023,527.0,355.0,StGB § 244 Abs. 1 Nr. 3
Schwerer Diebstahl/Banden (§ 244a),2023,513.0,443.0,StGB § 244 a
Raub und räuberische Erpressung (20. Abschnitt),2023,7893.0,5721.0,"StGB 20. Abschnitt, §§ 249 bis 256, 316a"
Betrug und Untreue (22. Abschnitt),2023,78491.0,64236.0,"StGB 22. Abschnitt, §§ 263 bis 266 b"
Sachbeschädigung (27. Abschnitt),2023,12671.0,8984.0,"StGB 27. Abschnitt, §§ 303 bis 305 a"
Straftaten im Straßenverkehr,2023,187744.0,165934.0,Straftaten ohne Straftaten im Straßenverkehr
Straftaten ohne Straßenverkehr (Summe),2023,487968.0,379650.0,Summe 1012 bis 1690
Tötungsdelikte,2024,961.0,661.0,"StGB 16. Abschnitt, §§ 211 bis 222 (o.V.)"
Körperverletzung,2024,71302.0,46523.0,"StGB 17. Abschnitt, §§ 223 bis 231 (o.V.)"
Sexualdelikte,2024,15763.0,11915.0,"StGB 13. Abschnitt, §§ 174 bis 184 l"
Diebstahl (19. Abschnitt),2024,92075.0,75740.0,"StGB 19. Abschnitt, §§ 242 bis 248 c"
Einbruchdiebstahl (§ 243 Abs. 1 S. 2 Nr. 1),2024,6611.0,5018.0,StGB § 243 Abs. 1 Satz 2 Nr. 1
Wohnungseinbruchdiebstahl (§ 244 Abs. 1 Nr. 3),2024,487.0,353.0,StGB § 244 Abs. 1 Nr. 3
Schwerer Diebstahl/Banden (§ 244a),2024,534.0,473.0,StGB § 244 a
Raub und räuberische Erpressung (20. Abschnitt),2024,8552.0,6098.0,"StGB 20. Abschnitt, §§ 249 bis 256, 316a"
Betrug und Untreue (22. Abschnitt),2024,74890.0,61374.0,"StGB 22. Abschnitt, §§ 263 bis 266 b"
Sachbeschädigung (27. Abschnitt),2024,11783.0,8417.0,"StGB 27. Abschnitt, §§ 303 bis 305 a"
Straftaten im Straßenverkehr,2024,184437.0,162384.0,Straftaten ohne Straftaten im Straßenverkehr
Straftaten ohne Straßenverkehr (Summe),2024,484112.0,374567.0,Summe 1012 bis 1690
