jahr,anteil,n,ki_lo,ki_hi
2002,26.175875250987445,2913,24.57949778594793,27.772252716026962
2004,26.023792377851173,2853,24.413752955551455,27.633831800150887
2006,23.316309686997172,2898,21.77677921054707,24.855840163447272
2008,22.92094728155033,2747,21.349096891762887,24.492797671337772
2010,22.69685297696786,3018,21.202415111194803,24.191290842740916
2012,23.412832552074764,2953,21.88551504057563,24.9401500635739
2014,22.00606092046578,3041,20.53358078650428,23.478541054427282
2016,27.207069138782124,2850,25.573193022639746,28.840945254924506
2018,25.409888415683668,2353,23.650802241790466,27.168974589576873
2023,25.033893314235517,2416,23.306448097651973,26.761338530819057
