jahr,anteil,n,ki_lo,ki_hi
2002,8.715572997040761,2918,7.692139218481462,9.73900677560006
2004,10.731223446572233,2868,9.598455612995114,11.863991280149355
2006,9.634857171164203,2910,8.562763611667192,10.706950730661214
2008,9.191581495781326,2748,8.1113772391188,10.27178575244385
2010,9.211692344015777,3026,8.181291318508464,10.242093369523088
2012,10.993572894571301,2956,9.865897847237733,12.12124794190487
2014,11.415806109877904,3042,10.285729523033268,12.545882696722538
2016,12.739838159644034,2850,11.515719258079944,13.963957061208127
2018,11.509000698378886,2357,10.220618729860597,12.797382666897175
2023,8.489762645514208,2418,7.378771651988933,9.600753639039484
