jahr;delikt;iccs;de_rate;eu_median;eu_laender_mit_wert
2008;Vorsätzliche Tötung (vollendet);ICCS0101;0.8;1.5;39
2009;Vorsätzliche Tötung (vollendet);ICCS0101;0.88;1.3;40
2010;Vorsätzliche Tötung (vollendet);ICCS0101;0.85;1.4;38
2011;Vorsätzliche Tötung (vollendet);ICCS0101;0.86;1.3;39
2012;Vorsätzliche Tötung (vollendet);ICCS0101;0.77;1.2;37
2013;Vorsätzliche Tötung (vollendet);ICCS0101;0.77;1.1;36
2014;Vorsätzliche Tötung (vollendet);ICCS0101;0.8;1.1;37
2015;Vorsätzliche Tötung (vollendet);ICCS0101;0.81;1.0;37
2016;Vorsätzliche Tötung (vollendet);ICCS0101;0.91;1.0;38
2017;Vorsätzliche Tötung (vollendet);ICCS0101;0.89;1.1;39
2018;Vorsätzliche Tötung (vollendet);ICCS0101;0.76;1.1;38
2019;Vorsätzliche Tötung (vollendet);ICCS0101;0.71;0.9;36
2020;Vorsätzliche Tötung (vollendet);ICCS0101;0.86;1.0;36
2021;Vorsätzliche Tötung (vollendet);ICCS0101;0.76;0.8;34
2022;Vorsätzliche Tötung (vollendet);ICCS0101;0.74;0.9;35
2023;Vorsätzliche Tötung (vollendet);ICCS0101;0.8;0.8;35
2024;Vorsätzliche Tötung (vollendet);ICCS0101;0.83;0.9;34
2008;Gefährliche Körperverletzung;ICCS020111;630.64;49.2;38
2009;Gefährliche Körperverletzung;ICCS020111;182.07;45.0;38
2010;Gefährliche Körperverletzung;ICCS020111;174.69;43.3;38
2011;Gefährliche Körperverletzung;ICCS020111;173.38;39.4;39
2012;Gefährliche Körperverletzung;ICCS020111;169.4;37.1;37
2013;Gefährliche Körperverletzung;ICCS020111;158.8;34.8;36
2014;Gefährliche Körperverletzung;ICCS020111;155.7;31.0;37
2015;Gefährliche Körperverletzung;ICCS020111;156.9;28.6;37
2016;Gefährliche Körperverletzung;ICCS020111;170.41;29.6;37
2017;Gefährliche Körperverletzung;ICCS020111;166.09;29.8;37
2018;Gefährliche Körperverletzung;ICCS020111;165.14;32.8;36
2019;Gefährliche Körperverletzung;ICCS020111;160.31;28.0;34
2020;Gefährliche Körperverletzung;ICCS020111;156.86;30.6;34
2021;Gefährliche Körperverletzung;ICCS020111;147.12;26.1;33
2022;Gefährliche Körperverletzung;ICCS020111;173.8;28.0;33
2023;Gefährliche Körperverletzung;ICCS020111;185.93;26.8;33
2024;Gefährliche Körperverletzung;ICCS020111;189.53;29.4;32
2008;Raub;ICCS0401;60.71;44.9;39
2009;Raub;ICCS0401;60.14;48.2;39
2010;Raub;ICCS0401;58.88;49.1;38
2011;Raub;ICCS0401;59.86;42.4;40
2012;Raub;ICCS0401;60.64;44.6;38
2013;Raub;ICCS0401;58.66;44.5;36
2014;Raub;ICCS0401;56.3;34.8;37
2015;Raub;ICCS0401;55.01;31.0;37
