;unsicher;viktim;geschlecht_f;agea_c;tertiaer;eisced_c;hinc;hincfel_c;mh;stadt_land_num;diskriminiert;uempla_c;health_c;ppltrst_c;trstplc_c;trstprl_c;trstlgl_c;trstplt_c;stfgov_c;stfdem_c;stflife_c;happy_c;lrscale_c;imwbcnt_c;imsmetn_c;impcntr_c;clsprty;news_min
unsicher;1.0;0.0604;0.2757;0.0574;-0.1476;-0.1668;-0.1643;0.1273;0.0231;-0.0932;0.0501;0.0329;0.162;-0.2091;-0.0745;-0.1396;-0.1552;-0.1123;-0.0976;-0.1528;-0.1117;-0.0872;0.0222;-0.1888;0.1433;0.1186;0.0754;-0.0229
viktim;0.0604;1.0;-0.0084;-0.0564;0.0408;0.0385;0.012;0.0134;0.0209;-0.0841;0.0554;0.0173;0.0146;-0.0207;-0.0483;-0.0131;-0.0317;-0.0254;-0.0278;-0.0235;-0.0205;-0.0024;-0.0071;0.0024;-0.0211;-0.016;-0.0266;-0.0034
geschlecht_f;0.2757;-0.0084;1.0;0.0108;-0.1089;-0.1101;-0.0784;0.0356;0.0132;-0.0166;0.0011;-0.0091;0.0311;-0.0245;-0.0148;-0.0484;-0.0642;0.0008;0.0102;-0.0488;0.0056;0.0157;-0.0664;-0.0183;0.0295;-0.0135;0.0771;-0.1057
agea_c;0.0574;-0.0564;0.0108;1.0;0.0499;0.0829;-0.1242;-0.0334;-0.1215;0.0097;-0.0905;-0.0863;0.326;-0.0258;0.0302;-0.0634;-0.0986;-0.0272;-0.038;-0.039;0.0255;-0.0229;0.0607;-0.1174;0.0261;0.145;-0.1806;0.3245
tertiaer;-0.1476;0.0408;-0.1089;0.0499;1.0;0.8834;0.3021;-0.2335;-0.003;-0.0951;-0.0059;-0.0718;-0.1013;0.1964;0.0467;0.1808;0.1427;0.1239;0.0911;0.1368;0.1158;0.0996;-0.0738;0.2255;-0.2271;-0.1812;-0.1711;0.0665
eisced_c;-0.1668;0.0385;-0.1101;0.0829;0.8834;1.0;0.3283;-0.2525;-0.0267;-0.114;-0.02;-0.0678;-0.1057;0.2117;0.0364;0.1825;0.1452;0.1161;0.081;0.1319;0.1162;0.101;-0.088;0.2343;-0.2357;-0.179;-0.1936;0.085
hinc;-0.1643;0.012;-0.0784;-0.1242;0.3021;0.3283;1.0;-0.5144;-0.0475;0.0519;-0.0808;-0.1719;-0.2126;0.1849;0.1231;0.2081;0.2053;0.1434;0.1228;0.1847;0.2825;0.251;0.0495;0.1593;-0.1822;-0.1429;-0.1012;-0.033
hincfel_c;0.1273;0.0134;0.0356;-0.0334;-0.2335;-0.2525;-0.5144;1.0;0.079;-0.0068;0.112;0.2069;0.2;-0.2032;-0.1495;-0.2443;-0.2004;-0.2094;-0.2021;-0.2372;-0.4098;-0.3237;-0.0161;-0.1773;0.2101;0.15;0.1424;-0.0432
mh;0.0231;0.0209;0.0132;-0.1215;-0.003;-0.0267;-0.0475;0.079;1.0;-0.0924;0.1512;0.0436;-0.0359;-0.0188;0.0191;0.0536;0.04;0.0387;0.0799;0.0904;-0.0017;0.0148;-0.0281;0.1004;-0.0679;-0.0682;0.035;-0.0457
stadt_land_num;-0.0932;-0.0841;-0.0166;0.0097;-0.0951;-0.114;0.0519;-0.0068;-0.0924;1.0;-0.061;-0.0299;0.0062;-0.0236;0.0368;-0.0553;-0.0237;-0.0321;-0.0214;-0.0406;0.0409;0.0503;0.1036;-0.0924;0.0566;0.0678;0.0419;-0.0803
