;unsicher;viktim;geschlecht_f;agea_c;tertiaer;eisced_c;hinc;hincfel_c;mh;stadt_land_num;diskriminiert;uempla_c;health_c;ppltrst_c;trstplc_c;trstprl_c;trstlgl_c;trstplt_c;stfgov_c;stfdem_c;stflife_c;happy_c;lrscale_c;imwbcnt_c;imsmetn_c;impcntr_c;clsprty;news_min
unsicher;28042;28020;28042;27853;27892;27892;16724;27829;28034;28017;27951;28042;28015;28014;27949;27564;27725;27809;27240;27685;27999;27973;26291;27453;27525;27473;28042;7614
viktim;28020;28093;28093;27901;27944;27944;16736;27877;28085;28067;27999;28093;28066;28066;27998;27614;27772;27860;27287;27733;28048;28023;26325;27495;27576;27521;28093;7620
geschlecht_f;28042;28093;28120;27926;27968;27968;16745;27898;28110;28092;28021;28120;28087;28091;28024;27635;27795;27884;27307;27754;28072;28045;26340;27513;27596;27540;28120;7625
agea_c;27853;27901;27926;27926;27798;27798;16729;27724;27918;27906;27832;27926;27900;27899;27832;27450;27608;27695;27124;27570;27883;27856;26208;27334;27418;27360;27926;7614
tertiaer;27892;27944;27968;27798;27968;27968;16678;27763;27961;27944;27876;27968;27941;27940;27874;27491;27649;27735;27171;27610;27922;27895;26221;27367;27457;27395;27968;7586
eisced_c;27892;27944;27968;27798;27968;27968;16678;27763;27961;27944;27876;27968;27941;27940;27874;27491;27649;27735;27171;27610;27922;27895;26221;27367;27457;27395;27968;7586
hinc;16724;16736;16745;16729;16678;16678;16745;16732;16743;16739;16706;16745;16736;16732;16710;16579;16606;16648;16389;16607;16732;16722;16111;16515;16522;16492;16745;6802
hincfel_c;27829;27877;27898;27724;27763;27763;16732;27898;27891;27875;27806;27898;27874;27870;27807;27440;27594;27677;27122;27563;27858;27835;26192;27318;27404;27346;27898;7576
mh;28034;28085;28110;27918;27961;27961;16743;27891;28110;28084;28014;28110;28079;28081;28014;27626;27785;27875;27298;27746;28063;28035;26332;27504;27588;27532;28110;7622
stadt_land_num;28017;28067;28092;27906;27944;27944;16739;27875;28084;28092;27995;28092;28062;28064;27997;27607;27769;27856;27281;27728;28045;28018;26320;27494;27571;27515;28092;7623
diskriminiert;27951;27999;28021;27832;27876;27876;16706;27806;28014;27995;28021;28021;27993;27992;27931;27552;27708;27794;27227;27667;27975;27948;26280;27425;27510;27454;28021;7600
uempla_c;28042;28093;28120;27926;27968;27968;16745;27898;28110;28092;28021;28120;28087;28091;28024;27635;27795;27884;27307;27754;28072;28045;26340;27513;27596;27540;28120;7625
health_c;28015;28066;28087;27900;27941;27941;16736;27874;28079;28062;27993;28087;28087;28060;27993;27606;27765;27854;27278;27725;28042;28021;26319;27486;27572;27515;28087;7619
ppltrst_c;28014;28066;28091;27899;27940;27940;16732;27870;28081;28064;27992;28091;28060;28091;27998;27607;27766;27857;27281;27726;28045;28018;26318;27487;27573;27515;28091;7621
trstplc_c;27949;27998;28024;27832;27874;27874;16710;27807;28014;27997;27931;28024;27993;27998;28024;27575;27758;27823;27247;27683;27980;27951;26283;27434;27511;27454;28024;7606
trstprl_c;27564;27614;27635;27450;27491;27491;16579;27440;27626;27607;27552;27635;27606;27607;27575;27635;27421;27536;27039;27378;27596;27567;26083;27094;27164;27110;27635;7536
trstlgl_c;27725;27772;27795;27608;27649;27649;16606;27594;27785;27769;27708;27795;27765;27766;27758;27421;27795;27638;27092;27502;27756;27727;26148;27246;27306;27256;27795;7565
trstplt_c;27809;27860;27884;27695;27735;27735;16648;27677;27875;27856;27794;27884;27854;27857;27823;27536;27638;27884;27189;27589;27845;27815;26225;27319;27394;27336;27884;7568
stfgov_c;27240;27287;27307;27124;27171;27171;16389;27122;27298;27281;27227;27307;27278;27281;27247;27039;27092;27189;27307;27133;27274;27241;25833;26800;26850;26801;27307;7453
stfdem_c;27685;27733;27754;27570;27610;27610;16607;27563;27746;27728;27667;27754;27725;27726;27683;27378;27502;27589;27133;27754;27717;27689;26147;27218;27273;27220;27754;7540
stflife_c;27999;28048;28072;27883;27922;27922;16732;27858;28063;28045;27975;28072;28042;28045;27980;27596;27756;27845;27274;27717;28072;28010;26322;27474;27556;27498;28072;7612
happy_c;27973;28023;28045;27856;27895;27895;16722;27835;28035;28018;27948;28045;28021;28018;27951;27567;27727;27815;27241;27689;28010;28045;26291;27465;27539;27481;28045;7616
lrscale_c;26291;26325;26340;26208;26221;26221;16111;26192;26332;26320;26280;26340;26319;26318;26283;26083;26148;26225;25833;26147;26322;26291;26340;25921;25967;25906;26340;7340
imwbcnt_c;27453;27495;27513;27334;27367;27367;16515;27318;27504;27494;27425;27513;27486;27487;27434;27094;27246;27319;26800;27218;27474;27465;25921;27513;27106;27056;27513;7529
imsmetn_c;27525;27576;27596;27418;27457;27457;16522;27404;27588;27571;27510;27596;27572;27573;27511;27164;27306;27394;26850;27273;27556;27539;25967;27106;27596;27363;27596;7506
impcntr_c;27473;27521;27540;27360;27395;27395;16492;27346;27532;27515;27454;27540;27515;27515;27454;27110;27256;27336;26801;27220;27498;27481;25906;27056;27363;27540;27540;7494
clsprty;28042;28093;28120;27926;27968;27968;16745;27898;28110;28092;28021;28120;28087;28091;28024;27635;27795;27884;27307;27754;28072;28045;26340;27513;27596;27540;28120;7625
news_min;7614;7620;7625;7614;7586;7586;6802;7576;7622;7623;7600;7625;7619;7621;7606;7536;7565;7568;7453;7540;7612;7616;7340;7529;7506;7494;7625;7625
