variable;label;runde;jahr;n;spearman
geschlecht_f;Frau (vs. Mann);1;2002;2913;0.2969
geschlecht_f;Frau (vs. Mann);2;2004;2853;0.2614
geschlecht_f;Frau (vs. Mann);3;2006;2898;0.2435
geschlecht_f;Frau (vs. Mann);4;2008;2747;0.2783
geschlecht_f;Frau (vs. Mann);5;2010;3018;0.2784
geschlecht_f;Frau (vs. Mann);6;2012;2953;0.2691
geschlecht_f;Frau (vs. Mann);7;2014;3041;0.2834
geschlecht_f;Frau (vs. Mann);8;2016;2850;0.276
geschlecht_f;Frau (vs. Mann);9;2018;2353;0.2912
geschlecht_f;Frau (vs. Mann);11;2023;2416;0.2826
agea_c;Alter (Jahre);1;2002;2892;0.1275
agea_c;Alter (Jahre);2;2004;2790;0.124
agea_c;Alter (Jahre);3;2006;2855;0.0871
agea_c;Alter (Jahre);4;2008;2721;0.0862
agea_c;Alter (Jahre);5;2010;3013;0.0436
agea_c;Alter (Jahre);6;2012;2946;0.0468
agea_c;Alter (Jahre);7;2014;3029;0.0551
agea_c;Alter (Jahre);8;2016;2847;0.0241
agea_c;Alter (Jahre);9;2018;2349;-0.0022
agea_c;Alter (Jahre);11;2023;2411;-0.0171
tertiaer;tertiäre Bildung;1;2002;2903;-0.1169
tertiaer;tertiäre Bildung;2;2004;2842;-0.1527
tertiaer;tertiäre Bildung;3;2006;2878;-0.1107
tertiaer;tertiäre Bildung;4;2008;2746;-0.151
tertiaer;tertiäre Bildung;5;2010;3011;-0.1243
tertiaer;tertiäre Bildung;6;2012;2906;-0.1568
tertiaer;tertiäre Bildung;7;2014;3028;-0.1737
tertiaer;tertiäre Bildung;8;2016;2832;-0.1707
tertiaer;tertiäre Bildung;9;2018;2344;-0.1777
tertiaer;tertiäre Bildung;11;2023;2402;-0.1377
eisced_c;Bildungsjahre/Stufe (ISCED);1;2002;2903;-0.1327
eisced_c;Bildungsjahre/Stufe (ISCED);2;2004;2842;-0.1722
eisced_c;Bildungsjahre/Stufe (ISCED);3;2006;2878;-0.1401
eisced_c;Bildungsjahre/Stufe (ISCED);4;2008;2746;-0.1674
eisced_c;Bildungsjahre/Stufe (ISCED);5;2010;3011;-0.1511
eisced_c;Bildungsjahre/Stufe (ISCED);6;2012;2906;-0.1817
eisced_c;Bildungsjahre/Stufe (ISCED);7;2014;3028;-0.1732
eisced_c;Bildungsjahre/Stufe (ISCED);8;2016;2832;-0.2014
eisced_c;Bildungsjahre/Stufe (ISCED);9;2018;2344;-0.1925
eisced_c;Bildungsjahre/Stufe (ISCED);11;2023;2402;-0.1565
hinc;Haushaltseinkommen (Dezile);4;2008;2284;-0.1786
hinc;Haushaltseinkommen (Dezile);5;2010;2390;-0.1657
hinc;Haushaltseinkommen (Dezile);6;2012;2551;-0.1348
hinc;Haushaltseinkommen (Dezile);7;2014;2702;-0.1817
hinc;Haushaltseinkommen (Dezile);8;2016;2546;-0.1781
hinc;Haushaltseinkommen (Dezile);9;2018;2084;-0.1876
hinc;Haushaltseinkommen (Dezile);11;2023;2167;-0.1436
hincfel_c;Einkommenslage (Selbsteinschätzung);1;2002;2889;0.1079
hincfel_c;Einkommenslage (Selbsteinschätzung);2;2004;2819;0.0771
hincfel_c;Einkommenslage (Selbsteinschätzung);3;2006;2867;0.1452
hincfel_c;Einkommenslage (Selbsteinschätzung);4;2008;2732;0.1235
hincfel_c;Einkommenslage (Selbsteinschätzung);5;2010;2996;0.1628
hincfel_c;Einkommenslage (Selbsteinschätzung);6;2012;2938;0.0865
hincfel_c;Einkommenslage (Selbsteinschätzung);7;2014;3019;0.1149
hincfel_c;Einkommenslage (Selbsteinschätzung);8;2016;2827;0.1364
hincfel_c;Einkommenslage (Selbsteinschätzung);9;2018;2333;0.1846
hincfel_c;Einkommenslage (Selbsteinschätzung);11;2023;2409;0.1494
mh;Migrationshintergrund;1;2002;2913;0.0454
mh;Migrationshintergrund;2;2004;2853;-0.02
mh;Migrationshintergrund;3;2006;2897;-0.0172
mh;Migrationshintergrund;4;2008;2745;0.0124
mh;Migrationshintergrund;5;2010;3016;0.0224
mh;Migrationshintergrund;6;2012;2953;0.0391
mh;Migrationshintergrund;7;2014;3041;0.0085
mh;Migrationshintergrund;8;2016;2850;0.0173
mh;Migrationshintergrund;9;2018;2351;0.0806
mh;Migrationshintergrund;11;2023;2415;0.0613
stadt_land_num;Wohnort: Stadt (1) bis Land (5);1;2002;2908;-0.1263
stadt_land_num;Wohnort: Stadt (1) bis Land (5);2;2004;2851;-0.1123
stadt_land_num;Wohnort: Stadt (1) bis Land (5);3;2006;2891;-0.087
stadt_land_num;Wohnort: Stadt (1) bis Land (5);4;2008;2741;-0.1076
stadt_land_num;Wohnort: Stadt (1) bis Land (5);5;2010;3017;-0.0538
stadt_land_num;Wohnort: Stadt (1) bis Land (5);6;2012;2953;-0.0487
stadt_land_num;Wohnort: Stadt (1) bis Land (5);7;2014;3040;-0.1284
stadt_land_num;Wohnort: Stadt (1) bis Land (5);8;2016;2849;-0.0676
stadt_land_num;Wohnort: Stadt (1) bis Land (5);9;2018;2353;-0.0733
stadt_land_num;Wohnort: Stadt (1) bis Land (5);11;2023;2414;-0.1163
diskriminiert;Diskriminierungserfahrung;1;2002;2902;0.0682
diskriminiert;Diskriminierungserfahrung;2;2004;2844;0.0293
diskriminiert;Diskriminierungserfahrung;3;2006;2885;0.077
diskriminiert;Diskriminierungserfahrung;4;2008;2735;0.0296
diskriminiert;Diskriminierungserfahrung;5;2010;3007;0.0302
diskriminiert;Diskriminierungserfahrung;6;2012;2945;0.0122
diskriminiert;Diskriminierungserfahrung;7;2014;3038;0.0162
diskriminiert;Diskriminierungserfahrung;8;2016;2843;0.0651
diskriminiert;Diskriminierungserfahrung;9;2018;2346;0.0657
diskriminiert;Diskriminierungserfahrung;11;2023;2406;0.1061
uempla_c;Arbeitslosigkeit (12 Mon.);1;2002;2913;0.0443
uempla_c;Arbeitslosigkeit (12 Mon.);2;2004;2853;0.0177
uempla_c;Arbeitslosigkeit (12 Mon.);3;2006;2898;0.0149
uempla_c;Arbeitslosigkeit (12 Mon.);4;2008;2747;0.0486
uempla_c;Arbeitslosigkeit (12 Mon.);5;2010;3018;0.0097
uempla_c;Arbeitslosigkeit (12 Mon.);6;2012;2953;0.0422
uempla_c;Arbeitslosigkeit (12 Mon.);7;2014;3041;0.0514
uempla_c;Arbeitslosigkeit (12 Mon.);8;2016;2850;0.0323
uempla_c;Arbeitslosigkeit (12 Mon.);9;2018;2353;0.0588
uempla_c;Arbeitslosigkeit (12 Mon.);11;2023;2416;0.0051
health_c;Gesundheitszustand;1;2002;2912;0.1941
health_c;Gesundheitszustand;2;2004;2851;0.1969
health_c;Gesundheitszustand;3;2006;2892;0.1896
health_c;Gesundheitszustand;4;2008;2744;0.1585
health_c;Gesundheitszustand;5;2010;3015;0.1653
health_c;Gesundheitszustand;6;2012;2951;0.166
health_c;Gesundheitszustand;7;2014;3038;0.1489
health_c;Gesundheitszustand;8;2016;2847;0.1241
health_c;Gesundheitszustand;9;2018;2352;0.1369
health_c;Gesundheitszustand;11;2023;2413;0.127
ppltrst_c;Sozialvertrauen;1;2002;2907;-0.1979
ppltrst_c;Sozialvertrauen;2;2004;2850;-0.2223
ppltrst_c;Sozialvertrauen;3;2006;2895;-0.1624
ppltrst_c;Sozialvertrauen;4;2008;2742;-0.2403
ppltrst_c;Sozialvertrauen;5;2010;3014;-0.2089
ppltrst_c;Sozialvertrauen;6;2012;2952;-0.1846
ppltrst_c;Sozialvertrauen;7;2014;3039;-0.1954
ppltrst_c;Sozialvertrauen;8;2016;2846;-0.26
ppltrst_c;Sozialvertrauen;9;2018;2353;-0.2183
ppltrst_c;Sozialvertrauen;11;2023;2416;-0.2135
trstplc_c;Vertrauen in die Polizei;1;2002;2901;-0.0273
trstplc_c;Vertrauen in die Polizei;2;2004;2841;-0.0817
trstplc_c;Vertrauen in die Polizei;3;2006;2884;-0.041
trstplc_c;Vertrauen in die Polizei;4;2008;2739;-0.0748
trstplc_c;Vertrauen in die Polizei;5;2010;3006;-0.0694
trstplc_c;Vertrauen in die Polizei;6;2012;2944;-0.0491
trstplc_c;Vertrauen in die Polizei;7;2014;3034;-0.1238
trstplc_c;Vertrauen in die Polizei;8;2016;2842;-0.1218
trstplc_c;Vertrauen in die Polizei;9;2018;2348;-0.0622
trstplc_c;Vertrauen in die Polizei;11;2023;2410;-0.0946
trstprl_c;Vertrauen in das Parlament;1;2002;2859;-0.0998
trstprl_c;Vertrauen in das Parlament;2;2004;2779;-0.1627
trstprl_c;Vertrauen in das Parlament;3;2006;2823;-0.0871
trstprl_c;Vertrauen in das Parlament;4;2008;2698;-0.138
trstprl_c;Vertrauen in das Parlament;5;2010;2957;-0.1214
trstprl_c;Vertrauen in das Parlament;6;2012;2911;-0.0924
trstprl_c;Vertrauen in das Parlament;7;2014;3008;-0.1602
trstprl_c;Vertrauen in das Parlament;8;2016;2809;-0.1955
trstprl_c;Vertrauen in das Parlament;9;2018;2322;-0.17
trstprl_c;Vertrauen in das Parlament;11;2023;2398;-0.1761
trstlgl_c;Vertrauen in die Justiz;1;2002;2880;-0.0853
trstlgl_c;Vertrauen in die Justiz;2;2004;2808;-0.151
trstlgl_c;Vertrauen in die Justiz;3;2006;2863;-0.124
trstlgl_c;Vertrauen in die Justiz;4;2008;2714;-0.1556
trstlgl_c;Vertrauen in die Justiz;5;2010;2959;-0.1461
trstlgl_c;Vertrauen in die Justiz;6;2012;2918;-0.1228
trstlgl_c;Vertrauen in die Justiz;7;2014;3023;-0.1887
trstlgl_c;Vertrauen in die Justiz;8;2016;2830;-0.2156
trstlgl_c;Vertrauen in die Justiz;9;2018;2333;-0.1762
trstlgl_c;Vertrauen in die Justiz;11;2023;2397;-0.2019
trstplt_c;Vertrauen in Politiker;1;2002;2899;-0.0818
trstplt_c;Vertrauen in Politiker;2;2004;2830;-0.1234
trstplt_c;Vertrauen in Politiker;3;2006;2855;-0.1013
trstplt_c;Vertrauen in Politiker;4;2008;2727;-0.0923
trstplt_c;Vertrauen in Politiker;5;2010;2979;-0.0968
trstplt_c;Vertrauen in Politiker;6;2012;2935;-0.0563
trstplt_c;Vertrauen in Politiker;7;2014;3023;-0.1258
trstplt_c;Vertrauen in Politiker;8;2016;2830;-0.1772
trstplt_c;Vertrauen in Politiker;9;2018;2334;-0.1369
trstplt_c;Vertrauen in Politiker;11;2023;2397;-0.1322
stfgov_c;Zufriedenheit mit der Regierung;1;2002;2849;-0.0663
stfgov_c;Zufriedenheit mit der Regierung;2;2004;2764;-0.1311
stfgov_c;Zufriedenheit mit der Regierung;3;2006;2798;-0.0669
stfgov_c;Zufriedenheit mit der Regierung;4;2008;2656;-0.1091
