ziel;variable;label;rolle;n;spearman;p_wert;abs_r;q_wert;signifikant_fdr
unsicher;geschlecht_f;Frau (vs. Mann);struktur;28042;0.2757;0.0;0.2757283880228167;0.0;ja
unsicher;ppltrst_c;Sozialvertrauen;einstellung;28014;-0.2091;3.1074740235818014e-274;0.20907063115585703;4.195089931835432e-273;ja
unsicher;imwbcnt_c;Zuwanderung: gut für das Land;einstellung;27453;-0.1888;9.673709320849008e-219;0.18882653020549117;8.706338388764107e-218;ja
unsicher;eisced_c;Bildungsjahre/Stufe (ISCED);struktur;27892;-0.1668;4.350129937463264e-173;0.16676707758232162;2.9363377077877033e-172;ja
unsicher;hinc;Haushaltseinkommen (Dezile);struktur;16724;-0.1643;1.6473761686520387e-101;0.16429100674299635;4.043559686691368e-101;ja
unsicher;health_c;Gesundheitszustand;struktur;28015;0.162;4.738344463579434e-164;0.16200963176026206;2.5587060103328948e-163;ja
unsicher;trstlgl_c;Vertrauen in die Justiz;einstellung;27725;-0.1552;4.79377346923593e-149;0.15521568354436613;2.1571980611561683e-148;ja
unsicher;stfdem_c;Zufriedenheit mit der Demokratie;einstellung;27685;-0.1528;3.0306021771831605e-144;0.15279976414963922;1.168946554056362e-143;ja
unsicher;tertiaer;tertiäre Bildung;struktur;27892;-0.1476;1.32700117021298e-135;0.1475936725732223;4.478628949468808e-135;ja
unsicher;imsmetn_c;Zuwanderung: kulturelle Bereicherung;einstellung;27525;0.1433;3.489213167725609e-126;0.14328691647107591;1.0467639503176827e-125;ja
unsicher;trstprl_c;Vertrauen in das Parlament;einstellung;27564;-0.1396;5.2560012734589734e-120;0.13961585439678525;1.419120343833923e-119;ja
unsicher;hincfel_c;Einkommenslage (Selbsteinschätzung);struktur;27829;0.1273;7.657531207745804e-101;0.12727853737609987;1.722944521742806e-100;ja
unsicher;impcntr_c;Zuwanderung: schlecht für die Wirtschaft (umgepolt);einstellung;27473;0.1186;1.4286458789844765e-86;0.11856502470637019;2.967187594813913e-86;ja
unsicher;trstplt_c;Vertrauen in Politiker;einstellung;27809;-0.1123;1.0077275901572946e-78;0.1122934758410308;1.9434746381604968e-78;ja
unsicher;stflife_c;Lebenszufriedenheit;einstellung;27999;-0.1117;2.1020845230996642e-78;0.11168287677885402;3.7837521415793956e-78;ja
unsicher;stfgov_c;Zufriedenheit mit der Regierung;einstellung;27240;-0.0976;1.2502616206854274e-58;0.0975868306075232;2.109816484906659e-58;ja
unsicher;stadt_land_num;Wohnort: Stadt (1) bis Land (5);struktur;28017;-0.0932;3.942462144747024e-55;0.0932337528049203;6.26155752400998e-55;ja
unsicher;happy_c;Glück;einstellung;27973;-0.0872;2.5342882027838236e-48;0.08717325477966929;3.8014323041757355e-48;ja
unsicher;clsprty;Parteibindung;einstellung;28042;0.0754;1.3212169369676765e-36;0.07535953187264093;1.877518805164593e-36;ja
unsicher;trstplc_c;Vertrauen in die Polizei;einstellung;27949;-0.0745;1.0596087202678878e-35;0.07450282108705117;1.4304717723616485e-35;ja
unsicher;viktim;Viktimisierung (Haushalt, 12 Mon.);ziel;28020;0.0604;4.63852713558123e-24;0.060387323603104254;5.963820602890152e-24;ja
unsicher;agea_c;Alter (Jahre);struktur;27853;0.0574;9.651993510408716e-22;0.05736099525550399;1.184562839913797e-21;ja
unsicher;diskriminiert;Diskriminierungserfahrung;struktur;27951;0.0501;5.352658057240324e-17;0.050086820105477436;6.283555110673423e-17;ja
unsicher;uempla_c;Arbeitslosigkeit (12 Mon.);struktur;28042;0.0329;3.467489257836357e-08;0.03293240500377307;3.9009254150659014e-08;ja
unsicher;mh;Migrationshintergrund;struktur;28034;0.0231;0.00011218507068616106;0.02306742728310677;0.00012115987634105395;ja
unsicher;news_min;Nachrichtenminuten (nur R8-R11);medien;7614;-0.0229;0.045731239317127755;0.022896768648757015;0.045731239317127755;ja
unsicher;lrscale_c;politische Orientierung (rechts hoch);einstellung;26291;0.0222;0.00031797115448341706;0.022201909500454333;0.0003302008142712408;ja
viktim;stadt_land_num;Wohnort: Stadt (1) bis Land (5);struktur;28067;-0.0841;2.9937010749034376e-45;0.08411750935077854;7.783622794748937e-44;ja
viktim;agea_c;Alter (Jahre);struktur;27901;-0.0564;4.352762690095148e-21;0.05637513740846741;5.658591497123692e-20;ja
viktim;diskriminiert;Diskriminierungserfahrung;struktur;27999;0.0554;1.631792727850148e-20;0.055443509201991426;1.4142203641367949e-19;ja
viktim;trstplc_c;Vertrauen in die Polizei;einstellung;27998;-0.0483;5.975599876403797e-16;0.048321526898710464;3.884139919662468e-15;ja
viktim;tertiaer;tertiäre Bildung;struktur;27944;0.0408;8.743832941786401e-12;0.040817604131521766;4.546793129728929e-11;ja
viktim;eisced_c;Bildungsjahre/Stufe (ISCED);struktur;27944;0.0385;1.2092708679769943e-10;0.03850136708188278;5.240173761233642e-10;ja
viktim;trstlgl_c;Vertrauen in die Justiz;einstellung;27772;-0.0317;1.3081134451836288e-07;0.0316630131365026;4.858707082110621e-07;ja
viktim;stfgov_c;Zufriedenheit mit der Regierung;einstellung;27287;-0.0278;4.285633548086269e-06;0.02782498307367048;1.3928309031280373e-05;ja
viktim;clsprty;Parteibindung;einstellung;28093;-0.0266;8.478156307041074e-06;0.026562621300059295;2.4492451553674215e-05;ja
viktim;trstplt_c;Vertrauen in Politiker;einstellung;27860;-0.0254;2.235853973909238e-05;0.025399079505330626;5.813220332164019e-05;ja
viktim;stfdem_c;Zufriedenheit mit der Demokratie;einstellung;27733;-0.0235;9.1626895084111e-05;0.023487303717858354;0.00021657266110789873;ja
viktim;imsmetn_c;Zuwanderung: kulturelle Bereicherung;einstellung;27576;-0.0211;0.0004537705163086239;0.02111539208822519;0.0009132797494911281;ja
viktim;mh;Migrationshintergrund;struktur;28085;0.0209;0.00045663987474556407;0.020913190294282444;0.0009132797494911281;ja
viktim;ppltrst_c;Sozialvertrauen;einstellung;28066;-0.0207;0.0005261508777186142;0.020694078036747707;0.0009771373443345694;ja
viktim;stflife_c;Lebenszufriedenheit;einstellung;28048;-0.0205;0.0005930991094746202;0.02050774745880444;0.001028038456422675;ja
