bundesland;bevoelkerung_2025;flaeche_km2;dichte;einwohner_zensus22;deutsche;nichtdeutsche;auslaenderanteil_pct;bip_je_ew_2024;bip_je_ew_2025;bip_index_de100;verfuegbares_einkommen_2024;bevoelkerung_privathaushalte;ohne_mh;mit_mh;mh_pct;alq_2025
Baden-Württemberg;11238761.0;35747.85;314.4;11238761.0;9188211.0;2050550.0;18.2;58018.0;59335.0;;31966.0;11208000.0;6905000.0;4304000.0;38.4;4.6
Bayern;13245503.0;70541.77;187.8;13245503.0;11188833.0;2056670.0;15.5;60258.0;62200.0;;33204.0;13151000.0;9047000.0;4104000.0;31.2;4.0
Berlin;3700577.0;891.12;4152.7;3700577.0;2867364.0;833213.0;22.5;56739.0;59097.0;;27595.0;3663000.0;2103000.0;1560000.0;42.6;10.3
Brandenburg;2551889.0;29654.36;86.1;2551889.0;2363542.0;188347.0;7.4;39665.0;40759.0;;27560.0;2528000.0;2212000.0;316000.0;12.5;6.4
Bremen;706915.0;419.61;1684.7;706915.0;541979.0;164936.0;23.3;58638.0;60974.0;;26542.0;698000.0;377000.0;321000.0;46.0;11.5
Hamburg;1869473.0;755.09;2475.8;1869473.0;1506441.0;363032.0;19.4;87688.0;90208.0;;32004.0;1860000.0;1095000.0;765000.0;41.1;8.3
Hessen;6278594.0;21115.64;297.3;6278594.0;5108272.0;1170322.0;18.6;59190.0;60894.0;;31683.0;6236000.0;3779000.0;2457000.0;39.4;5.8
Mecklenburg-Vorpommern;1573685.0;23294.83;67.6;1573685.0;1470746.0;102939.0;6.5;38612.0;40495.0;;26913.0;1549000.0;1384000.0;165000.0;10.7;8.0
Niedersachsen;8000826.0;47709.9;167.7;8000826.0;7062594.0;938232.0;11.7;48113.0;49907.0;;29080.0;7913000.0;5785000.0;2128000.0;26.9;6.1
Nordrhein-Westfalen;17986214.0;34112.65;527.3;17986214.0;15146154.0;2840060.0;15.8;48810.0;50470.0;;29197.0;17803000.0;11372000.0;6431000.0;36.1;7.8
Rheinland-Pfalz;4123022.0;19857.96;207.6;4123022.0;3547139.0;575883.0;14.0;43808.0;44915.0;;30519.0;4085000.0;2837000.0;1248000.0;30.6;5.5
Saarland;1007342.0;2572.01;391.7;1007342.0;853186.0;154156.0;15.3;41632.0;42765.0;;26617.0;1012000.0;722000.0;290000.0;28.7;7.4
Sachsen;4026599.0;18449.86;218.2;4026599.0;3687106.0;339493.0;8.4;40259.0;41693.0;;26818.0;3980000.0;3480000.0;500000.0;12.6;6.9
Sachsen-Anhalt;2120252.0;20554.84;103.2;2120252.0;1951831.0;168421.0;7.9;37155.0;38452.0;;26297.0;2082000.0;1833000.0;249000.0;12.0;8.0
Schleswig-Holstein;2958519.0;15804.31;187.2;2958519.0;2648450.0;310069.0;10.5;42733.0;44344.0;;30247.0;2921000.0;2245000.0;676000.0;23.1;5.9
Thüringen;2078946.0;16202.39;128.3;2078946.0;1904374.0;174572.0;8.4;36890.0;38591.0;;26497.0;2050000.0;1799000.0;251000.0;12.2;6.4
