pfad;verfahren;n;effekt;se;ki_lo;ki_hi;p_wert;abgesichert
Diskriminierung -> Sozialvertrauen -> Furcht;Sobel;16571;0.01475;0.00245;0.00994;0.01956;0.0;ja
Diskriminierung -> Sozialvertrauen -> Furcht;Delta;16571;0.01475;0.00237;0.0101;0.0194;0.0;ja
Diskriminierung -> Sozialvertrauen -> Furcht;Bootstrap;16571;0.01475;;0.00997;0.01999;;ja
Bildung -> Sozialvertrauen -> Furcht;Sobel;16603;-0.01126;0.00076;-0.01274;-0.00978;0.0;ja
Bildung -> Sozialvertrauen -> Furcht;Delta;16603;-0.01126;0.00076;-0.01275;-0.00977;0.0;ja
Bildung -> Sozialvertrauen -> Furcht;Bootstrap;16603;-0.01126;;-0.0128;-0.0098;;ja
Viktimisierung -> Vertrauen Justiz -> Furcht;Sobel;16474;0.00592;0.0011;0.00375;0.00808;0.0;ja
Viktimisierung -> Vertrauen Justiz -> Furcht;Delta;16474;0.00592;0.0011;0.00376;0.00808;0.0;ja
Viktimisierung -> Vertrauen Justiz -> Furcht;Bootstrap;16474;0.00592;;0.00376;0.00824;;ja
Zuwanderungseinstellung -> Sozialvertrauen -> Furcht;Sobel;16379;-0.01456;0.00092;-0.01636;-0.01276;0.0;ja
Zuwanderungseinstellung -> Sozialvertrauen -> Furcht;Delta;16379;-0.01456;0.0009;-0.01633;-0.01279;0.0;ja
Zuwanderungseinstellung -> Sozialvertrauen -> Furcht;Bootstrap;16379;-0.01456;;-0.01644;-0.01264;;ja
