label;variable;detail;ame_pp;se_pp;z;p;ki_lo;ki_hi;modell
Alter (je SD);agea_c_z;agea_c_z;1.6455446569822785;0.31239525346865954;5.267508512728938;;1.0332499601837057;2.2578393537808514;M1 Soziodemografie
Bildung ISCED (je SD);eisced_c_z;eisced_c_z;-5.5011701392221095;0.33399888873235095;-16.470624079322782;;-6.155807961137517;-4.846532317306702;M1 Soziodemografie
Frau (vs. Mann);geschlecht_f;geschlecht_f;21.21545448079536;0.6159248467981848;34.44487520041039;;20.008241781070915;22.422667180519802;M1 Soziodemografie
Haushaltseinkommen (je SD);hinc_z;hinc_z;-2.3711653692635455;0.36842271964543155;-6.435991166737884;;-3.093273899768591;-1.6490568387584996;M1 Soziodemografie
Einkommenslage (schwierig hoch);hincfel_c;hincfel_c;3.7031571346743704;0.45703737723770094;8.102525786962916;;2.8073638752884764;4.598950394060264;M1 Soziodemografie
Migrationshintergrund;mh;mh;1.3655617932062647;0.7654676854066854;1.7839574671016392;;-0.13475487019083876;2.865878456603368;M1 Soziodemografie
Wohnort (Land hoch);stadt_land_num_z;stadt_land_num_z;-3.4351217666955454;0.3030472196490832;-11.335269040492374;;-4.029094317207749;-2.841149216183342;M1 Soziodemografie
Alter (je SD);agea_c_z;agea_c_z;0.7556214880830203;0.3281885013855341;2.302400860764364;;0.11237202536737345;1.3988709507986672;M2 + Vulnerabilität
Diskriminierungserfahrung;diskriminiert;diskriminiert;4.0335691272928464;1.3594562450487273;2.9670459361847796;;1.369034886997341;6.698103367588352;M2 + Vulnerabilität
Bildung ISCED (je SD);eisced_c_z;eisced_c_z;-5.24409611469779;0.33274539787830737;-15.760086084242934;;-5.896277094539272;-4.591915134856308;M2 + Vulnerabilität
Frau (vs. Mann);geschlecht_f;geschlecht_f;21.237661702808136;0.6117318666217958;34.71727216057939;;20.038667244229416;22.436656161386857;M2 + Vulnerabilität
