interaktion;gruppe;x;p_prozent
geschlecht_f x agea_c_z;0.0;-1.5;6.89
geschlecht_f x agea_c_z;0.0;-0.75;8.21
geschlecht_f x agea_c_z;0.0;0.0;9.75
geschlecht_f x agea_c_z;0.0;0.75;11.55
geschlecht_f x agea_c_z;0.0;1.5;13.63
geschlecht_f x agea_c_z;0.0;2.25;16.01
geschlecht_f x agea_c_z;1.0;-1.5;33.09
geschlecht_f x agea_c_z;1.0;-0.75;32.31
geschlecht_f x agea_c_z;1.0;0.0;31.55
geschlecht_f x agea_c_z;1.0;0.75;30.8
geschlecht_f x agea_c_z;1.0;1.5;30.05
geschlecht_f x agea_c_z;1.0;2.25;29.32
geschlecht_f x ppltrst_c_z;0.0;-2.0;21.95
geschlecht_f x ppltrst_c_z;0.0;-1.0;14.85
geschlecht_f x ppltrst_c_z;0.0;0.0;9.75
geschlecht_f x ppltrst_c_z;0.0;1.0;6.28
geschlecht_f x ppltrst_c_z;0.0;2.0;3.99
geschlecht_f x ppltrst_c_z;1.0;-2.0;53.42
geschlecht_f x ppltrst_c_z;1.0;-1.0;42.15
geschlecht_f x ppltrst_c_z;1.0;0.0;31.64
geschlecht_f x ppltrst_c_z;1.0;1.0;22.72
geschlecht_f x ppltrst_c_z;1.0;2.0;15.73
stadt_land_num_z x ppltrst_c_z;1.0;-2.0;29.56
stadt_land_num_z x ppltrst_c_z;1.0;-1.0;22.52
stadt_land_num_z x ppltrst_c_z;1.0;0.0;16.75
stadt_land_num_z x ppltrst_c_z;1.0;1.0;12.23
stadt_land_num_z x ppltrst_c_z;1.0;2.0;8.8
stadt_land_num_z x ppltrst_c_z;3.0;-2.0;17.39
stadt_land_num_z x ppltrst_c_z;3.0;-1.0;14.05
stadt_land_num_z x ppltrst_c_z;3.0;0.0;11.27
stadt_land_num_z x ppltrst_c_z;3.0;1.0;8.98
stadt_land_num_z x ppltrst_c_z;3.0;2.0;7.11
stadt_land_num_z x ppltrst_c_z;5.0;-2.0;9.54
stadt_land_num_z x ppltrst_c_z;5.0;-1.0;8.42
stadt_land_num_z x ppltrst_c_z;5.0;0.0;7.41
stadt_land_num_z x ppltrst_c_z;5.0;1.0;6.52
stadt_land_num_z x ppltrst_c_z;5.0;2.0;5.73
