gruppe,schluessel,faelle,aufgeklaert,aq
Nebengesetze,700000,478332,441044,92.2045775737354
Gegen das Leben,000000,3114,2833,90.97623635195889
Rohheitsdelikte & Freiheit,200000,963108,832775,86.46745743987175
Sexuelle Selbstbestimmung,100000,131335,109957,83.72254159211178
Gefährliche Körperverletzung,222000,155002,124653,80.420252641901385
Raub,210000,40119,25020,62.36446571449936
Vermögens- & Fälschungsdelikte,500000,922873,557236,60.38057240812116
Alle Delikte,------,5508559,3188533,57.88325041086063
Sonstige StGB,600000,1196656,667193,55.75478667219318
Diebstahl (gesamt),****00,1813141,577495,31.850528999123622
Wohnungseinbruch (WED),435*00,82920,11672,14.076218041485768
