gruppe,schluessel,jahr,faelle,hz
Gegen das Leben,000000,2002,3541,4.3
Gegen das Leben,000000,2003,3465,4.2
Gegen das Leben,000000,2004,3525,4.3
Gegen das Leben,000000,2005,3549,4.3
Gegen das Leben,000000,2006,3452,4.2
Gegen das Leben,000000,2007,3356,4.1
Gegen das Leben,000000,2008,3244,3.9
Gegen das Leben,000000,2009,3269,4
Gegen das Leben,000000,2010,3216,3.9
Gegen das Leben,000000,2011,3135,3.8
Gegen das Leben,000000,2012,3028,3.7
Gegen das Leben,000000,2013,2951,3.7
Gegen das Leben,000000,2014,2962,3.7
Gegen das Leben,000000,2015,2991,3.7
Gegen das Leben,000000,2016,3242,3.9
Gegen das Leben,000000,2017,3227,3.9
Gegen das Leben,000000,2018,3254,3.930314770261808
Gegen das Leben,000000,2019,3054,3.67866648315895
Gegen das Leben,000000,2020,3289,3.95470731071714
Gegen das Leben,000000,2021,2980,3.58366771578739
Gegen das Leben,000000,2022,3077,3.69666784738983
Gegen das Leben,000000,2023,3083,3.6546256649199025
Gegen das Leben,000000,2024,3182,3.812785520809187
Gegen das Leben,000000,2025,3114,3.7258992111957885
Sexuelle Selbstbestimmung,100000,2002,53860,65.3
Sexuelle Selbstbestimmung,100000,2003,54632,66.2
Sexuelle Selbstbestimmung,100000,2004,57306,69.4
Sexuelle Selbstbestimmung,100000,2005,55203,66.9
Sexuelle Selbstbestimmung,100000,2006,52231,63.4
Sexuelle Selbstbestimmung,100000,2007,56281,68.4
Sexuelle Selbstbestimmung,100000,2008,56784,69.1
Sexuelle Selbstbestimmung,100000,2009,49084,59.9
Sexuelle Selbstbestimmung,100000,2010,46869,57.3
Sexuelle Selbstbestimmung,100000,2011,47078,57.6
Sexuelle Selbstbestimmung,100000,2012,45824,56
Sexuelle Selbstbestimmung,100000,2013,46793,58.1
Sexuelle Selbstbestimmung,100000,2014,46982,58.2
Sexuelle Selbstbestimmung,100000,2015,46081,56.8
Sexuelle Selbstbestimmung,100000,2016,47401,57.7
Sexuelle Selbstbestimmung,100000,2017,56047,67.9
Sexuelle Selbstbestimmung,100000,2018,63782,77.03851772490432
Sexuelle Selbstbestimmung,100000,2019,69881,84.1744900162509
Sexuelle Selbstbestimmung,100000,2020,81630,98.1522522875769
Sexuelle Selbstbestimmung,100000,2021,106656,128.261632179537
Sexuelle Selbstbestimmung,100000,2022,118196,141.999139710786
Sexuelle Selbstbestimmung,100000,2023,126470,149.9190748759066
Sexuelle Selbstbestimmung,100000,2024,127775,153.10454742972783
Sexuelle Selbstbestimmung,100000,2025,131335,157.1422520560048
Rohheitsdelikte & Freiheit,200000,2002,657426,797.5
Rohheitsdelikte & Freiheit,200000,2003,682620,827.1
Rohheitsdelikte & Freiheit,200000,2004,718053,870
Rohheitsdelikte & Freiheit,200000,2005,735632,891.7
Rohheitsdelikte & Freiheit,200000,2006,754315,915
Rohheitsdelikte & Freiheit,200000,2007,782244,950.3
Rohheitsdelikte & Freiheit,200000,2008,791414,962.6
Rohheitsdelikte & Freiheit,200000,2009,797218,972.2
Rohheitsdelikte & Freiheit,200000,2010,789377,965
Rohheitsdelikte & Freiheit,200000,2011,781679,956.2
Rohheitsdelikte & Freiheit,200000,2012,788816,963.8
Rohheitsdelikte & Freiheit,200000,2013,775956,963.6
Rohheitsdelikte & Freiheit,200000,2014,767940,950.8
Rohheitsdelikte & Freiheit,200000,2015,765233,942.4
Rohheitsdelikte & Freiheit,200000,2016,815709,992.6
Rohheitsdelikte & Freiheit,200000,2017,793915,962.1
Rohheitsdelikte & Freiheit,200000,2018,787387,951.0383392784679
Rohheitsdelikte & Freiheit,200000,2019,776795,935.680985849854
Rohheitsdelikte & Freiheit,200000,2020,766262,921.356623084445
Rohheitsdelikte & Freiheit,200000,2021,737666,887.097258132223
Rohheitsdelikte & Freiheit,200000,2022,867699,1042.44231215869
Rohheitsdelikte & Freiheit,200000,2023,941783,1116.401012839851
Rohheitsdelikte & Freiheit,200000,2024,968321,1160.2766462273644
Rohheitsdelikte & Freiheit,200000,2025,963108,1152.358168752843
Diebstahl (gesamt),****00,2002,3090154,3748.4
Diebstahl (gesamt),****00,2003,3029390,3670.4
Diebstahl (gesamt),****00,2004,2961030,3587.7
Diebstahl (gesamt),****00,2005,2727048,3305.5
Diebstahl (gesamt),****00,2006,2601902,3156.2
