bundesland;schluessel;delikt;faelle;hz;versuche;aufgeklaert;aq
Baden-Württemberg;------;Straftaten insgesamt;551295.0;4902.187446480486;38791.0;344588.0;62.5051923199013
Bayern;------;Straftaten insgesamt;579115.0;4371.032886585239;44803.0;394243.0;68.0768068518342
Berlin;------;Straftaten insgesamt;502742.0;13641.9497648066;38768.0;225649.0;44.8836580194215
Brandenburg;------;Straftaten insgesamt;166508.0;6512.494196727326;14454.0;96078.0;57.7017320489106
Bremen;------;Straftaten insgesamt;94402.0;13392.615207389616;7722.0;45838.0;48.5561746573166
Hamburg;------;Straftaten insgesamt;213596.0;11467.841390770254;12989.0;104966.0;49.1423060356936
Hessen;------;Straftaten insgesamt;376981.0;6002.12425405518;23743.0;230383.0;61.1126290184386
Mecklenburg-Vorpommern;------;Straftaten insgesamt;103901.0;6602.770595012573;5802.0;65788.0;63.3179661408456
Niedersachsen;------;Straftaten insgesamt;506634.0;6329.373430333904;31777.0;317739.0;62.7156882483213
Nordrhein-Westfalen;------;Straftaten insgesamt;1356972.0;7524.330927900562;108371.0;728511.0;53.6865167446344
Rheinland-Pfalz;------;Straftaten insgesamt;224126.0;5427.346049914652;14991.0;145186.0;64.7787405298805
Saarland;------;Straftaten insgesamt;66372.0;6557.584368185856;6941.0;41326.0;62.2642077984692
Sachsen;------;Straftaten insgesamt;269050.0;6655.66336221206;18545.0;158880.0;59.0522207768073
Sachsen-Anhalt;------;Straftaten insgesamt;172776.0;8090.29044337485;14148.0;99167.0;57.3962818910034
Schleswig-Holstein;------;Straftaten insgesamt;178922.0;6045.648664967966;13020.0;101376.0;56.6593264103911
Thüringen;------;Straftaten insgesamt;145167.0;6911.802586039841;11964.0;88815.0;61.1812602037653
Baden-Württemberg;100000;Straftaten gegen die sexuelle Selbstbestimmung;13769.0;122.43575390778042;300.0;11742.0;85.2785242210763
Bayern;100000;Straftaten gegen die sexuelle Selbstbestimmung;17956.0;135.5279461100551;368.0;15133.0;84.2782356872355
Berlin;100000;Straftaten gegen die sexuelle Selbstbestimmung;8652.0;234.7728046694064;214.0;5958.0;68.8626907073509
Brandenburg;100000;Straftaten gegen die sexuelle Selbstbestimmung;3344.0;130.79119678247397;75.0;3029.0;90.5801435406698
Bremen;100000;Straftaten gegen die sexuelle Selbstbestimmung;1548.0;219.61153726657406;41.0;1229.0;79.3927648578811
Hamburg;100000;Straftaten gegen die sexuelle Selbstbestimmung;2113.0;113.44570525055501;59.0;1502.0;71.0837671557028
Hessen;100000;Straftaten gegen die sexuelle Selbstbestimmung;10973.0;174.70723840126558;199.0;9059.0;82.5571858197393
