jahr,tv_insgesamt,tv_deutsch,tv_nichtdeutsch,tvbz_insgesamt,tvbz_deutsch,tvbz_nichtdeutsch,anteil_nichtdeutsch_pct,tvbz_verhaeltnis
1987,1290441.0,1032115.0,258326.0,,,,20.02,
1988,1314080.0,1027336.0,286744.0,,,,21.82,
1989,1370962.0,1034951.0,336011.0,,,,24.51,
1990,1437923.0,1054340.0,383583.0,,,,26.68,
1991,1466752.0,1061207.0,,,,,,
1992,1581734.0,1072429.0,,,,,,
1993,2051775.0,1361855.0,689920.0,,,,33.63,
1994,2037729.0,1424740.0,612988.0,,,,30.08,
1995,2118104.0,1514609.0,603496.0,,,,28.49,
1996,2213293.0,1587708.0,625585.0,,,,28.26,
1997,2273560.0,1640081.0,633480.0,,,,27.86,
1998,2319895.0,1691418.0,628477.0,,,,27.09,
1999,2263140.0,1661919.0,601221.0,,,,26.57,
2000,2286372.0,1697263.0,589109.0,,,,25.77,
2001,2280611.0,1712228.0,568384.0,,,,24.92,
2002,2326149.0,1759231.0,566918.0,,,,24.37,
2003,2355161.0,1801411.0,553750.0,,,,23.51,
2004,2384268.0,1837283.0,546985.0,,,,22.94,
2005,2313136.0,1793547.0,519573.0,,,,22.46,
2006,2283127.0,1780091.0,503037.0,,,,22.03,
2007,2294883.0,1804605.0,490278.0,,,,21.36,
2008,2255693.0,1784627.0,471067.0,,,,20.88,
2009,2187217.0,1724839.0,462378.0,2693.272224042011,2444.546085940211,5199.748781428967,21.14,2.13
2010,2152803.0,1680991.0,471812.0,2653.669239712105,2392.412750096857,5302.033634329052,21.92,2.22
2011,2112843.0,1628314.0,484529.0,2584.783620917816,2317.7049666441812,5262.718644127614,22.93,2.27
2012,2094123.0,1591733.0,502390.0,2532.134554167948,2264.3652895496675,5137.59392103501,23.99,2.27
2013,2094160.0,1555711.0,538449.0,2544.194601097695,2228.340004572427,5937.311727741783,25.71,2.66
2014,2149504.0,1532112.0,617392.0,2563.7229342767614,2196.9628533993814,6306.109319976053,28.72,2.87
2015,2369036.0,1457172.0,911864.0,2643.8539917885028,2091.893623508992,7921.385917784462,38.49,3.79
2016,2360806.0,1407062.0,953744.0,2573.250760466954,2024.2372512863458,7195.297860547256,40.4,3.55
2017,2112715.0,1376450.0,736265.0,2455.7007500128498,1983.7448500224675,6205.137556755909,34.85,3.13
2018,2051266.0,1342886.0,708380.0,2395.6778636554754,1941.052391607074,5840.260207190601,34.53,3.01
2019,2019211.0,1319950.0,699261.0,2339.639817428082,1914.308528205756,5431.421151395557,34.63,2.84
2020,1969617.0,,663199.0,2304.3387013397746,1900.224928599089,5153.106819993688,33.67,2.71
2021,1892003.0,1252876.0,639127.0,2222.342759359118,1828.7586746571694,4942.883522483133,33.78,2.7
2022,2093782.0,1309906.0,783876.0,2388.3978575951755,1919.5751096118704,5528.070921069823,37.44,2.88
2023,2246767.0,1323498.0,923269.0,2465.4998146361413,1944.5906870933034,5542.756818416843,41.09,2.85
2024,2184834.0,1271638.0,913196.0,2420.650947427226,1879.1290803746513,5628.60815111326,41.8,3.0
2025,2054855.0,1231246.0,823609.0,2304.8595220824636,1814.3480601632873,5130.774812144232,40.08,2.83
