art;bereich;jahr;faelle
gesamt;auslaendische_ideologie;2017;1617
gesamt;auslaendische_ideologie;2018;2487
gesamt;auslaendische_ideologie;2019;1897
gesamt;auslaendische_ideologie;2020;1016
gesamt;auslaendische_ideologie;2021;1153
gesamt;auslaendische_ideologie;2022;3886
gesamt;auslaendische_ideologie;2023;5170
gesamt;auslaendische_ideologie;2024;7343
gesamt;auslaendische_ideologie;2025;6886
gesamt;gesamt;2016;41549
gesamt;gesamt;2017;39505
gesamt;gesamt;2018;36062
gesamt;gesamt;2019;41177
gesamt;gesamt;2020;44692
gesamt;gesamt;2021;55048
gesamt;gesamt;2022;58916
gesamt;gesamt;2023;60028
gesamt;gesamt;2024;84172
gesamt;gesamt;2025;85837
gesamt;links;2016;9389
gesamt;links;2017;9752
gesamt;links;2018;7961
gesamt;links;2019;9849
gesamt;links;2020;10971
gesamt;links;2021;10113
gesamt;links;2022;6976
gesamt;links;2023;7777
gesamt;links;2024;9971
gesamt;links;2025;13490
gesamt;pmak_2016;2016;3372
gesamt;rechts;2016;23555
gesamt;rechts;2017;20520
gesamt;rechts;2018;20431
gesamt;rechts;2019;22342
gesamt;rechts;2020;23604
gesamt;rechts;2021;21964
gesamt;rechts;2022;23493
gesamt;rechts;2023;28945
gesamt;rechts;2024;42788
gesamt;rechts;2025;42544
gesamt;religioese_ideologie;2017;1102
gesamt;religioese_ideologie;2018;586
gesamt;religioese_ideologie;2019;425
gesamt;religioese_ideologie;2020;477
gesamt;religioese_ideologie;2021;479
gesamt;religioese_ideologie;2022;481
gesamt;religioese_ideologie;2023;1458
gesamt;religioese_ideologie;2024;1877
gesamt;religioese_ideologie;2025;1983
gesamt;sonstige_zuordnung;2016;5233
gesamt;sonstige_zuordnung;2017;6514
gesamt;sonstige_zuordnung;2018;4597
gesamt;sonstige_zuordnung;2019;6664
gesamt;sonstige_zuordnung;2020;8624
gesamt;sonstige_zuordnung;2021;21339
gesamt;sonstige_zuordnung;2022;24080
gesamt;sonstige_zuordnung;2023;16678
gesamt;sonstige_zuordnung;2024;22193
gesamt;sonstige_zuordnung;2025;20934
gewalt;auslaendische_ideologie;2017;233
gewalt;auslaendische_ideologie;2018;425
gewalt;auslaendische_ideologie;2019;351
gewalt;auslaendische_ideologie;2020;113
gewalt;auslaendische_ideologie;2021;140
gewalt;auslaendische_ideologie;2022;372
gewalt;auslaendische_ideologie;2023;491
gewalt;auslaendische_ideologie;2024;975
gewalt;auslaendische_ideologie;2025;704
gewalt;gesamt;2016;4311
gewalt;gesamt;2017;3754
gewalt;gesamt;2018;3366
gewalt;gesamt;2019;2832
gewalt;gesamt;2020;3365
gewalt;gesamt;2021;3889
gewalt;gesamt;2022;4043
gewalt;gesamt;2023;3561
gewalt;gesamt;2024;4107
gewalt;gesamt;2025;4156
gewalt;links;2016;1702
gewalt;links;2017;1967
gewalt;links;2018;1340
gewalt;links;2019;1052
gewalt;links;2020;1526
gewalt;links;2021;1203
gewalt;links;2022;842
gewalt;links;2023;916
gewalt;links;2024;762
gewalt;links;2025;1087
gewalt;pmak_2016;2016;597
gewalt;rechts;2016;1698
gewalt;rechts;2017;1130
gewalt;rechts;2018;1156
gewalt;rechts;2019;986
gewalt;rechts;2020;1092
gewalt;rechts;2021;1042
gewalt;rechts;2022;1170
gewalt;rechts;2023;1270
gewalt;rechts;2024;1488
gewalt;rechts;2025;1598
gewalt;religioese_ideologie;2017;92
gewalt;religioese_ideologie;2018;58
gewalt;religioese_ideologie;2019;48
gewalt;religioese_ideologie;2020;43
gewalt;religioese_ideologie;2021;60
gewalt;religioese_ideologie;2022;51
gewalt;religioese_ideologie;2023;90
gewalt;religioese_ideologie;2024;87
gewalt;religioese_ideologie;2025;98
gewalt;sonstige_zuordnung;2016;314
gewalt;sonstige_zuordnung;2017;332
gewalt;sonstige_zuordnung;2018;387
gewalt;sonstige_zuordnung;2019;395
gewalt;sonstige_zuordnung;2020;591
gewalt;sonstige_zuordnung;2021;1444
gewalt;sonstige_zuordnung;2022;1608
gewalt;sonstige_zuordnung;2023;794
gewalt;sonstige_zuordnung;2024;795
gewalt;sonstige_zuordnung;2025;669
